id,NL_norm,logic_formula
43,"If a user is vegetarian, the user ought to consume plant-based meals or vegetarian meals.","vegetarian(user)→O(consume(user,plant_based_meal)∨consume(user,vegetarian_meal))"
44,"If a user is an adult, the user is permitted to consume local food and seasonal food.","adult(user)→P(consume(user,local_food)∧consume(user,seasonal_food))"
45,"If a user is diabetic, the user is forbidden to consume dessert and high-sugar food.","diabetic(user)→F(consume(user,dessert)∧consume(user,high_sugar_food))"
46,"If a user is a child, the user ought to consume vegetables or water.","child(user)→O(consume(user,vegetables)∨consume(user,water))"
47,"If a user is vegetarian, the user is forbidden to consume meat or fast food.","vegetarian(user)→F(consume(user,meat)∨consume(user,fast_food))"
48,"If a user is an adult, the user ought to consume balanced meals and water.","adult(user)→O(consume(user,balanced_meal)∧consume(user,water))"
49,"If a user is diabetic, the user is permitted to consume organic food or local food.","diabetic(user)→P(consume(user,organic_food)∨consume(user,local_food))"
50,"If a user is a child, the user is forbidden to consume processed food and dessert.","child(user)→F(consume(user,processed_food)∧consume(user,dessert))"
51,The system ought to recommend healthy meals to users.,"O(recommend(system,healthy_meal))"
52,The system is forbidden to recommend high-sugar food to users.,"F(recommend(system,high_sugar_food))"
53,The system is permitted to recommend vegetarian meals.,"P(recommend(system,vegetarian_meal))"
54,The system ought to provide labels for organic food.,"O(label(system,organic_food))"
55,The system is forbidden to advertise energy drinks.,"F(advertise(system,energy_drink))"
56,The system ought to promote vegetables.,"O(promote(system,vegetables))"
57,The system is permitted to recommend local food.,"P(recommend(system,local_food))"
58,The system ought to limit fast food.,"O(limit(system,fast_food))"
59,The system is forbidden to promote processed food.,"F(promote(system,processed_food))"
60,The system ought to provide balanced meals.,"O(provide(system,balanced_meal))"
61,"If the user is vegetarian, the system ought to recommend vegetarian meals.","vegetarian(user)→O(recommend(system,vegetarian_meal))"
62,"If the user is vegetarian, the system is forbidden to recommend meat.","vegetarian(user)→F(recommend(system,meat))"
63,"If the user is diabetic, the system ought to recommend low-sugar food.","diabetic(user)→O(recommend(system,low_sugar_food))"
64,"If the user is diabetic, the system is forbidden to recommend dessert.","diabetic(user)→F(recommend(system,dessert))"
65,"If the user is a child, the system is forbidden to advertise energy drinks.","child(user)→F(advertise(system,energy_drink))"
66,"If the user is a child, the system ought to recommend vegetables.","child(user)→O(recommend(system,vegetables))"
67,"If the user is an adult, the system is permitted to recommend seasonal food.","adult(user)→P(recommend(system,seasonal_food))"
68,"If the user is diabetic, the system ought to label high-sugar food.","diabetic(user)→O(label(system,high_sugar_food))"
69,"If the user is vegetarian, the system is permitted to promote plant-based meals.","vegetarian(user)→P(promote(system,plant_based_meal))"
70,"If the user is a child, the system ought to limit dessert.","child(user)→O(limit(system,dessert))"
71,The system ought to recommend healthy meals and water.,"O(recommend(system,healthy_meal)∧recommend(system,water))"
72,The system is forbidden to recommend fast food or processed food.,"F(recommend(system,fast_food)∨recommend(system,processed_food))"
73,The system is permitted to recommend vegetarian meals or vegan meals.,"P(recommend(system,vegetarian_meal)∨recommend(system,vegan_meal))"
74,The system ought to label organic food and sustainable food.,"O(label(system,organic_food)∧label(system,sustainable_food))"
75,The system is forbidden to advertise dessert and energy drinks together.,"F(advertise(system,dessert)∧advertise(system,energy_drink))"
76,The system is permitted to promote local food and seasonal food.,"P(promote(system,local_food)∧promote(system,seasonal_food))"
77,The system ought to provide low-salt food or low-sugar food.,"O(provide(system,low_salt_food)∨provide(system,low_sugar_food))"
78,The system is forbidden to recommend high-sugar food and dessert together.,"F(recommend(system,high_sugar_food)∧recommend(system,dessert))"
79,The system ought to limit fast food and processed food.,"O(limit(system,fast_food)∧limit(system,processed_food))"
80,The system is permitted to advertise organic food or local food.,"P(advertise(system,organic_food)∨advertise(system,local_food))"
81,The system ought not recommend meat to vegetarian users.,"vegetarian(user)→O(¬recommend(system,meat))"
82,The system is forbidden not to label high-sugar food for diabetic users.,"diabetic(user)→F(¬label(system,high_sugar_food))"
83,The system is permitted not to advertise dessert to children.,"child(user)→P(¬advertise(system,dessert))"
84,The system ought not promote processed food.,"O(¬promote(system,processed_food))"
85,The system is forbidden not to limit energy drinks for children.,"child(user)→F(¬limit(system,energy_drink))"
86,The system is permitted not to recommend fast food.,"P(¬recommend(system,fast_food))"
87,The system ought not advertise high-sugar food.,"O(¬advertise(system,high_sugar_food))"
88,The system is forbidden not to recommend vegetables.,"F(¬recommend(system,vegetables))"
89,The system is permitted not to promote meat to vegetarian users.,"vegetarian(user)→P(¬promote(system,meat))"
90,The system ought not provide energy drinks to children.,"child(user)→O(¬provide(system,energy_drink))"
91,"If the user is diabetic, the system ought to recommend low-sugar food and label high-sugar food.","diabetic(user)→O(recommend(system,low_sugar_food)∧label(system,high_sugar_food))"
92,"If the user is a child, the system is forbidden to recommend fast food or dessert.","child(user)→F(recommend(system,fast_food)∨recommend(system,dessert))"
93,"If the user is vegetarian, the system ought to recommend vegetarian meals or plant-based meals.","vegetarian(user)→O(recommend(system,vegetarian_meal)∨recommend(system,plant_based_meal))"
94,"If the user is an adult, the system is permitted to advertise local food and seasonal food.","adult(user)→P(advertise(system,local_food)∧advertise(system,seasonal_food))"
95,"If the user is diabetic, the system is forbidden to promote dessert and high-sugar food.","diabetic(user)→F(promote(system,dessert)∧promote(system,high_sugar_food))"
96,"If the user is a child, the system ought to provide vegetables or water.","child(user)→O(provide(system,vegetables)∨provide(system,water))"
97,"If the user is vegetarian, the system is forbidden to advertise meat or fast food.","vegetarian(user)→F(advertise(system,meat)∨advertise(system,fast_food))"
98,"If the user is an adult, the system ought to recommend balanced meals and water.","adult(user)→O(recommend(system,balanced_meal)∧recommend(system,water))"
99,"If the user is diabetic, the system is permitted to promote organic food or sustainable food.","diabetic(user)→P(promote(system,organic_food)∨promote(system,sustainable_food))"
100,"If the user is a child, the system is forbidden to provide processed food and energy drinks.","child(user)→F(provide(system,processed_food)∧provide(system,energy_drink))"
