id,stakeholder,formulation_type,NL_norm,logic_formula
21,user,implication,"Vegetarian users should not consume meat products.","∀x. vegetarian(x) → F(consume(x,MeatMeal))"
22,user,implication,"Diabetic users should consume low sugar food options.","∀x. diabetic(x) → O(consume(x,LowSugarFood))"
23,user,implication,"Children should not consume energy drinks.","∀x. child(x) → F(consume(x,EnergyDrink))"
24,user,implication,"Halal users should consume halal-certified meals only.","∀x. halal(x) → O(consume(x,HalalMeal))"
25,user,implication,"Users with nut allergies should avoid nut-containing meals.","∀x. nutAllergy(x) → F(consume(x,NutContainingMeal))"
26,user,implication,"Pregnant users should avoid raw seafood products.","∀x. pregnant(x) → F(consume(x,RawSeafoodMeal))"
27,user,implication,"Elderly users should consume low sodium meals.","∀x. elder(x) → O(consume(x,LowSodiumMeal))"
28,user,implication,"Vegan users should avoid dairy products.","∀x. vegan(x) → F(consume(x,DairyMeal))"
29,user,implication,"Fitness-oriented users should consume protein-rich meals.","∀x. fitnessUser(x) → O(consume(x,ProteinMeal))"
30,user,implication,"Organic food users may choose organic meal providers.","∀x. organicPreference(x) → P(select(x,OrganicProvider))"
31,user,implication,"Users with lactose intolerance should avoid milk-based products.","∀x. lactoseIntolerant(x) → F(consume(x,MilkMeal))"
32,user,implication,"Users with hypertension should consume heart-healthy meals.","∀x. hypertension(x) → O(consume(x,HeartHealthyMeal))"
33,user,implication,"Children should consume healthy breakfasts every morning.","∀x. child(x) → O(consume(x,HealthyBreakfast))"
34,user,implication,"Kosher users should consume kosher-certified meals.","∀x. kosher(x) → O(consume(x,KosherMeal))"
35,user,implication,"Users allergic to shellfish should avoid seafood meals.","∀x. shellfishAllergy(x) → F(consume(x,ShellfishMeal))"
36,user,implication,"Users attempting weight loss should consume low calorie meals.","∀x. weightLoss(x) → O(consume(x,LowCalorieMeal))"
37,user,implication,"Gluten-free users should avoid wheat-based meals.","∀x. glutenFree(x) → F(consume(x,WheatMeal))"
38,user,implication,"Users following Mediterranean diets should consume Mediterranean meals.","∀x. mediterraneanDiet(x) → O(consume(x,MediterraneanMeal))"
39,user,implication,"Users sensitive to caffeine should avoid energy drinks.","∀x. caffeineSensitive(x) → F(consume(x,EnergyDrink))"
40,user,implication,"Athletes should consume high protein snacks.","∀x. athlete(x) → O(consume(x,ProteinSnack))"
41,user,dyadic,"Users with diabetes should not receive sugary dessert recommendations.","∀x. F(recommend(system,SugaryDessert) | diabetic(x))"
42,user,dyadic,"Children should receive fruit-based snack recommendations.","∀x. O(recommend(system,FruitSnack) | child(x))"
43,user,dyadic,"Vegetarian users should receive plant-based protein recommendations.","∀x. O(recommend(system,PlantProteinMeal) | vegetarian(x))"
44,user,dyadic,"Users with peanut allergies should never receive peanut snack recommendations.","∀x. F(recommend(system,PeanutSnack) | peanutAllergy(x))"
45,user,dyadic,"Users preferring spicy food may receive spicy meal recommendations.","∀x. P(recommend(system,SpicyMeal) | spicyPreference(x))"
46,user,dyadic,"Users with kidney disease should receive low potassium meal recommendations.","∀x. O(recommend(system,LowPotassiumMeal) | kidneyDisease(x))"
47,user,dyadic,"Children should not receive alcohol-related food recommendations.","∀x. F(recommend(system,AlcoholMeal) | child(x))"
48,user,dyadic,"Users following pescatarian diets should receive seafood meal recommendations.","∀x. O(recommend(system,SeafoodMeal) | pescatarian(x))"
49,user,dyadic,"Users avoiding processed food should not receive processed meal recommendations.","∀x. F(recommend(system,ProcessedMeal) | avoidProcessedFood(x))"
50,user,dyadic,"Users interested in muscle gain should receive calorie-dense meal recommendations.","∀x. O(recommend(system,CalorieDenseMeal) | muscleGain(x))"
51,user,implication,"Users with diabetes should avoid sugary desserts.","∀x. diabetic(x) → F(consume(x,SugaryDessert))"
52,user,implication,"Children should consume fruit-based snacks.","∀x. child(x) → O(consume(x,FruitSnack))"
53,user,implication,"Vegetarian users should consume plant-based protein meals.","∀x. vegetarian(x) → O(consume(x,PlantProteinMeal))"
54,user,implication,"Users with peanut allergies should avoid peanut snacks.","∀x. peanutAllergy(x) → F(consume(x,PeanutSnack))"
55,user,implication,"Users preferring spicy food may consume spicy meals.","∀x. spicyPreference(x) → P(consume(x,SpicyMeal))"
56,user,implication,"Users with kidney disease should consume low potassium meals.","∀x. kidneyDisease(x) → O(consume(x,LowPotassiumMeal))"
57,user,implication,"Children should avoid alcohol-related meals.","∀x. child(x) → F(consume(x,AlcoholMeal))"
58,user,implication,"Pescatarian users should consume seafood meals.","∀x. pescatarian(x) → O(consume(x,SeafoodMeal))"
59,user,implication,"Users avoiding processed food should avoid processed meals.","∀x. avoidProcessedFood(x) → F(consume(x,ProcessedMeal))"
60,user,implication,"Users interested in muscle gain should consume calorie-dense meals.","∀x. muscleGain(x) → O(consume(x,CalorieDenseMeal))"
61,user,dyadic,"Users following low carb diets should receive low carbohydrate meal recommendations.","∀x. O(recommend(system,LowCarbMeal) | lowCarb(x))"
62,user,dyadic,"Users with seafood allergies should not receive seafood recommendations.","∀x. F(recommend(system,SeafoodMeal) | seafoodAllergy(x))"
63,user,dyadic,"Children should receive milk-based breakfast recommendations.","∀x. O(recommend(system,MilkBreakfast) | child(x))"
64,user,dyadic,"Users interested in sustainability should receive eco-friendly meal recommendations.","∀x. O(recommend(system,EcoFriendlyMeal) | sustainabilityPreference(x))"
65,user,dyadic,"Users preferring traditional cuisine may receive traditional meal recommendations.","∀x. P(recommend(system,TraditionalMeal) | traditionalPreference(x))"
66,user,dyadic,"Users with obesity should receive balanced portion meal recommendations.","∀x. O(recommend(system,BalancedPortionMeal) | obesity(x))"
67,user,dyadic,"Users following religious fasting practices should not receive restricted food recommendations.","∀x. F(recommend(system,RestrictedMeal) | fastingUser(x))"
68,user,dyadic,"Users preferring fresh food should receive fresh ingredient meal recommendations.","∀x. O(recommend(system,FreshMeal) | freshFoodPreference(x))"
69,user,dyadic,"Children should not receive high sugar candy recommendations.","∀x. F(recommend(system,HighSugarCandy) | child(x))"
70,user,dyadic,"Users interested in cardiovascular health should receive low fat meal recommendations.","∀x. O(recommend(system,LowFatMeal) | cardiovascularConcern(x))"
71,user,implication,"Users following low carb diets should consume low carbohydrate meals.","∀x. lowCarb(x) → O(consume(x,LowCarbMeal))"
72,user,implication,"Users with seafood allergies should avoid seafood meals.","∀x. seafoodAllergy(x) → F(consume(x,SeafoodMeal))"
73,user,implication,"Children should consume milk-based breakfasts.","∀x. child(x) → O(consume(x,MilkBreakfast))"
74,user,implication,"Users interested in sustainability should consume eco-friendly meals.","∀x. sustainabilityPreference(x) → O(consume(x,EcoFriendlyMeal))"
75,user,implication,"Users preferring traditional cuisine may consume traditional meals.","∀x. traditionalPreference(x) → P(consume(x,TraditionalMeal))"
76,user,implication,"Users with obesity should consume balanced portion meals.","∀x. obesity(x) → O(consume(x,BalancedPortionMeal))"
77,user,implication,"Users following religious fasting practices should avoid restricted meals.","∀x. fastingUser(x) → F(consume(x,RestrictedMeal))"
78,user,implication,"Users preferring fresh food should consume fresh ingredient meals.","∀x. freshFoodPreference(x) → O(consume(x,FreshMeal))"
79,user,implication,"Children should avoid high sugar candies.","∀x. child(x) → F(consume(x,HighSugarCandy))"
80,user,implication,"Users concerned about cardiovascular health should consume low fat meals.","∀x. cardiovascularConcern(x) → O(consume(x,LowFatMeal))"
81,user,dyadic,"Users with iron deficiency should receive iron-rich meal recommendations.","∀x. O(recommend(system,IronRichMeal) | ironDeficiency(x))"
82,user,dyadic,"Users allergic to eggs should not receive egg-based meal recommendations.","∀x. F(recommend(system,EggMeal) | eggAllergy(x))"
83,user,dyadic,"Children should receive recommendations for balanced school lunches.","∀x. O(recommend(system,SchoolLunch) | child(x))"
84,user,dyadic,"Users preferring local cuisine may receive local food recommendations.","∀x. P(recommend(system,LocalCuisineMeal) | localCuisinePreference(x))"
85,user,dyadic,"Users following paleo diets should not receive grain-based meal recommendations.","∀x. F(recommend(system,GrainMeal) | paleoDiet(x))"
86,user,dyadic,"Users recovering from illness should receive nutrient-rich meal recommendations.","∀x. O(recommend(system,NutrientRichMeal) | recoveryUser(x))"
87,user,dyadic,"Children should not receive fried fast food recommendations frequently.","∀x. F(recommend(system,FriedFastFood) | child(x))"
88,user,dyadic,"Users preferring homemade meals should receive homemade meal recommendations.","∀x. O(recommend(system,HomemadeMeal) | homemadePreference(x))"
89,user,dyadic,"Users sensitive to gluten should not receive bread-based meal recommendations.","∀x. F(recommend(system,BreadMeal) | glutenSensitive(x))"
90,user,dyadic,"Users focused on wellness should receive nutritious snack recommendations.","∀x. O(recommend(system,NutritiousSnack) | wellnessUser(x))"
91,user,implication,"Users with iron deficiency should consume iron-rich meals.","∀x. ironDeficiency(x) → O(consume(x,IronRichMeal))"
92,user,implication,"Users allergic to eggs should avoid egg-based meals.","∀x. eggAllergy(x) → F(consume(x,EggMeal))"
93,user,implication,"Children should consume balanced school lunches.","∀x. child(x) → O(consume(x,SchoolLunch))"
94,user,implication,"Users preferring local cuisine may consume local cuisine meals.","∀x. localCuisinePreference(x) → P(consume(x,LocalCuisineMeal))"
95,user,implication,"Users following paleo diets should avoid grain-based meals.","∀x. paleoDiet(x) → F(consume(x,GrainMeal))"
96,user,implication,"Users recovering from illness should consume nutrient-rich meals.","∀x. recoveryUser(x) → O(consume(x,NutrientRichMeal))"
97,user,implication,"Children should avoid fried fast food.","∀x. child(x) → F(consume(x,FriedFastFood))"
98,user,implication,"Users preferring homemade meals should consume homemade meals.","∀x. homemadePreference(x) → O(consume(x,HomemadeMeal))"
99,user,implication,"Users sensitive to gluten should avoid bread-based meals.","∀x. glutenSensitive(x) → F(consume(x,BreadMeal))"
100,user,implication,"Users focused on wellness should consume nutritious snacks.","∀x. wellnessUser(x) → O(consume(x,NutritiousSnack))"
```
