ID,NL_norm,logic_formula
64,Users should avoid artificial sweeteners,"O(¬consume(user,artificial_sweetener))"
65,Users may consume soup,"P(consume(user,soup))"
66,Users should consume lean protein,"O(consume(user,lean_protein))"
67,Users should not consume spoiled food,"O(¬consume(user,spoiled_food))"
68,Users may consume boiled eggs,"P(consume(user,boiled_egg))"
69,Users should consume mineral rich food,"O(consume(user,mineral_rich_food))"
70,Users should avoid skipping meals,O(¬skip_meal(user))
71,"If users are sick, they should consume soup","sick(user)→O(consume(user,soup))"
72,"If users are sick, they should consume water","sick(user)→O(consume(user,water))"
73,"If users are athletes, they should consume lean protein","athlete(user)→O(consume(user,lean_protein))"
74,"If users are elderly, they may consume soup","elderly(user)→P(consume(user,soup))"
75,"If users are pregnant, they should consume folate rich food","pregnant(user)→O(consume(user,folate_rich_food))"
76,"If users are pregnant, they should not consume alcohol","pregnant(user)→O(¬consume(user,alcohol))"
77,"If users are sick, they may consume herbal tea","sick(user)→P(consume(user,herbal_tea))"
78,"If users are children, they may consume fresh juice","child(user)→P(consume(user,fresh_juice))"
79,"If users are athletes, they should not skip meals",athlete(user)→O(¬skip_meal(user))
80,"If users are elderly, they should consume mineral rich food","elderly(user)→O(consume(user,mineral_rich_food))"
81,Users should consume soup and herbal tea,"O(consume(user,soup)∧consume(user,herbal_tea))"
82,Users may consume seeds or nuts,"P(consume(user,seeds)∨consume(user,nuts))"
83,Users should not consume spoiled food and alcohol,"O(¬consume(user,spoiled_food)∧¬consume(user,alcohol))"
84,Users may consume boiled eggs or soup,"P(consume(user,boiled_egg)∨consume(user,soup))"
85,Users should consume lean protein and vegetables,"O(consume(user,lean_protein)∧consume(user,vegetables))"
86,Users may consume herbal tea or fresh juice,"P(consume(user,herbal_tea)∨consume(user,fresh_juice))"
87,Users should avoid artificial sweeteners and sugary soda,"O(¬consume(user,artificial_sweetener)∧¬consume(user,sugary_soda))"
88,Users may consume vitamin rich food or mineral rich food,"P(consume(user,vitamin_rich_food)∨consume(user,mineral_rich_food))"
89,Users should consume seeds and whole grains,"O(consume(user,seeds)∧consume(user,whole_grains))"
90,Users may consume lean protein or seafood,"P(consume(user,lean_protein)∨consume(user,seafood))"
91,Users should not avoid fruits,"O(¬¬consume(user,fruits))"
92,Users may not consume fried food,"P(¬consume(user,fried_food))"
93,Users should not avoid breakfast,"O(¬¬consume(user,breakfast))"
94,Users are forbidden to consume alcohol,"F(consume(user,alcohol))"
95,Users are forbidden to consume spoiled food,"F(consume(user,spoiled_food))"
96,Users are permitted to consume soup,"P(consume(user,soup))"
97,Users are forbidden to consume trans fat,"F(consume(user,trans_fat))"
98,Users are permitted to consume seeds,"P(consume(user,seeds))"
99,Users are forbidden to skip meals,F(skip_meal(user))
100,Users are permitted to consume lean protein,"P(consume(user,lean_protein))"
