id,stakeholder,NL_norm,logic_formula
77,food_ministry,The system should provide healthy meal,"F(provide(system,healthy_meal))"
78,food_industry,"For diabetic users, the system should consume vegetarian meal","diabetic(user) → P(consume(system,vegetarian_meal))"
79,user,The system should recommend vegan meal,"O(recommend(system,vegan_meal))"
80,food_ministry,"For adult users, the system should promote high sugar food","adult(user) → F(promote(system,high_sugar_food))"
81,food_industry,The system should advertise low sugar food,"P(advertise(system,low_sugar_food))"
82,user,"For diabetic users, the system should label fast food","diabetic(user) → O(label(system,fast_food))"
83,food_ministry,The system should limit processed food,"F(limit(system,processed_food))"
84,food_industry,"For adult users, the system should provide organic food","adult(user) → P(provide(system,organic_food))"
85,user,The system should consume local food,"O(consume(system,local_food))"
86,food_ministry,"For diabetic users, the system should recommend seasonal food","diabetic(user) → F(recommend(system,seasonal_food))"
87,food_industry,The system should promote sustainable food,"P(promote(system,sustainable_food))"
88,user,"For adult users, the system should advertise low salt food","adult(user) → O(advertise(system,low_salt_food))"
89,food_ministry,The system should label balanced meal,"F(label(system,balanced_meal))"
90,food_industry,"For diabetic users, the system should limit plant based meal","diabetic(user) → P(limit(system,plant_based_meal))"
91,user,The system should provide water,"O(provide(system,water))"
92,food_ministry,"For adult users, the system should consume dessert","adult(user) → F(consume(system,dessert))"
93,food_industry,The system should recommend vegetables,"P(recommend(system,vegetables))"
94,user,"For diabetic users, the system should promote energy drink","diabetic(user) → O(promote(system,energy_drink))"
95,food_ministry,The system should advertise meat,"F(advertise(system,meat))"
96,food_industry,"For adult users, the system should label healthy meal","adult(user) → P(label(system,healthy_meal))"
97,user,The system should limit vegetarian meal,"O(limit(system,vegetarian_meal))"
98,food_ministry,"For diabetic users, the system should provide vegan meal","diabetic(user) → F(provide(system,vegan_meal))"
99,food_industry,The system should consume high sugar food,"P(consume(system,high_sugar_food))"
100,user,"For adult users, the system should recommend low sugar food","adult(user) → O(recommend(system,low_sugar_food))"
