id,stakeholder,formula_type,norm_type,original_nl,formula,backtranslated_nl,auto_semantic_score,auto_error_type,auto_notes,auto_direct_overlap,auto_original_concepts,auto_concept_hits,human_semantic_score,human_error_type,human_notes
USER094,User,implication,permission,Users who require low sugar may be recommended healthy meals.,"∀x.∀y.requiresLowSugar(x)∧healthyMeal(y)->P(recommend(System,y,x))","For every user and product, if the product is a healthy meal and the user requires low-sugar food, then the system is permitted to recommend the product to the user.",1,partial_concept_overlap,Automatic check found modality agreement but only partial concept overlap.,healthy,1,0,2,none,Faithful: user requires low sugar + product is a healthy meal -> permitted recommendation. Auto-1 is conservative because it missed some concept overlap.
USER094,User,dyadic,permission,Users who require low sugar may be recommended healthy meals.,"∀x.∀y.P(recommend(System,y,x)|requiresLowSugar(x)∧healthyMeal(y))","For every user and product, if the product is a healthy meal and the user requires low-sugar food, then the system is permitted to recommend the product to the user.",1,partial_concept_overlap,Automatic check found modality agreement but only partial concept overlap.,healthy,1,0,2,none,Faithful: user requires low sugar + product is a healthy meal -> permitted recommendation. Auto-1 is conservative because it missed some concept overlap.
USER095,User,implication,permission,Users who require low salt may be recommended Mediterranean meals.,"∀x.∀y.requiresLowSalt(x)∧mediterraneanMeal(y)->P(recommend(System,y,x))","For every user and product, if the product is a Mediterranean meal and the user requires low-salt food, then the system is permitted to recommend the product to the user.",1,partial_concept_overlap,Automatic check found modality agreement but only partial concept overlap.,mediterranean,2,1,2,none,Faithful: user requires low salt + product is a Mediterranean meal -> permitted recommendation. Auto-1 is conservative because it missed some concept overlap.
USER095,User,dyadic,permission,Users who require low salt may be recommended Mediterranean meals.,"∀x.∀y.P(recommend(System,y,x)|requiresLowSalt(x)∧mediterraneanMeal(y))","For every user and product, if the product is a Mediterranean meal and the user requires low-salt food, then the system is permitted to recommend the product to the user.",1,partial_concept_overlap,Automatic check found modality agreement but only partial concept overlap.,mediterranean,2,1,2,none,Faithful: user requires low salt + product is a Mediterranean meal -> permitted recommendation. Auto-1 is conservative because it missed some concept overlap.
USER099,User,implication,permission,Lactose intolerant users may be recommended lactose-free meals.,"∀x.∀y.lactoseIntolerant(x)∧lactoseFreeMeal(y)->P(recommend(System,y,x))","For every user and product, if the product is a lactose-free meal and the user is lactose-intolerant, then the system is permitted to recommend the product to the user.",1,partial_concept_overlap,Automatic check found modality agreement but only partial concept overlap.,lactosefree,1,0,2,none,Faithful: lactose-intolerant user + lactose-free meal -> permitted recommendation. Auto-1 is conservative due to token overlap.
USER099,User,dyadic,permission,Lactose intolerant users may be recommended lactose-free meals.,"∀x.∀y.P(recommend(System,y,x)|lactoseIntolerant(x)∧lactoseFreeMeal(y))","For every user and product, if the product is a lactose-free meal and the user is lactose-intolerant, then the system is permitted to recommend the product to the user.",1,partial_concept_overlap,Automatic check found modality agreement but only partial concept overlap.,lactosefree,1,0,2,none,Faithful: lactose-intolerant user + lactose-free meal -> permitted recommendation. Auto-1 is conservative due to token overlap.
MINISTRY008,Food Ministry,implication,prohibition,Children must not be recommended energy drinks or sugary snacks.,"∀x.∀y.child(x)∧(energyDrink(y)∨sugarySnack(y))->F(recommend(System,y,x))","For every user and product, if the user is a child and the product is an energy drink, then the system is prohibited from recommending the product to the user.",1,partial_concept_overlap,Automatic check found modality agreement but only partial concept overlap.,energy,3,2,1,missing_condition,"Partially preserved: prohibition + child condition + energy drink condition are preserved, but the sugary snack condition from the original/formula is missing in the backtranslation."
MINISTRY008,Food Ministry,dyadic,prohibition,Children must not be recommended energy drinks or sugary snacks.,"∀x.∀y.F(recommend(System,y,x)|child(x)∧(energyDrink(y)∨sugarySnack(y)))","For every user and product, if the user is a child and the product is an energy drink, then the system is prohibited from recommending the product to the user.",1,partial_concept_overlap,Automatic check found modality agreement but only partial concept overlap.,energy,3,2,1,missing_condition,"Partially preserved: prohibition + child condition + energy drink condition are preserved, but the sugary snack condition from the original/formula is missing in the backtranslation."
MINISTRY009,Food Ministry,implication,prohibition,Children must not be recommended products that exceed the sugar limit or the salt limit.,"∀x.∀y.child(x)∧(exceedsSugarLimit(y)∨exceedsSaltLimit(y))->F(recommend(System,y,x))","For every user and product, if the user is a child and the product exceeds sugar limits, then the system is prohibited from recommending the product to the user.",1,partial_concept_overlap,Automatic check found modality agreement but only partial concept overlap.,sugar,3,2,1,missing_condition,"Partially preserved: prohibition + child condition + sugar-limit condition are preserved, but the salt-limit condition from the original/formula is missing in the backtranslation."
MINISTRY009,Food Ministry,dyadic,prohibition,Children must not be recommended products that exceed the sugar limit or the salt limit.,"∀x.∀y.F(recommend(System,y,x)|child(x)∧(exceedsSugarLimit(y)∨exceedsSaltLimit(y)))","For every user and product, if the user is a child and the product exceeds sugar limits, then the system is prohibited from recommending the product to the user.",1,partial_concept_overlap,Automatic check found modality agreement but only partial concept overlap.,sugar,3,2,1,missing_condition,"Partially preserved: prohibition + child condition + sugar-limit condition are preserved, but the salt-limit condition from the original/formula is missing in the backtranslation."
MINISTRY016,Food Ministry,implication,prohibition,Diabetic users must not be recommended sugary snacks or energy drinks.,"∀x.∀y.diabetic(x)∧(sugarySnack(y)∨energyDrink(y))->F(recommend(System,y,x))","For every user and product, if the user is diabetic and the product is a sugary snack, then the system is prohibited from recommending the product to the user.",1,partial_concept_overlap,Automatic check found modality agreement but only partial concept overlap.,diabetic;sugary,3,2,1,missing_condition,"Partially preserved: prohibition + diabetic user condition + sugary snack condition are preserved, but the energy drink condition from the original/formula is missing in the backtranslation."
MINISTRY016,Food Ministry,dyadic,prohibition,Diabetic users must not be recommended sugary snacks or energy drinks.,"∀x.∀y.F(recommend(System,y,x)|diabetic(x)∧(sugarySnack(y)∨energyDrink(y)))","For every user and product, if the user is diabetic and the product is a sugary snack, then the system is prohibited from recommending the product to the user.",1,partial_concept_overlap,Automatic check found modality agreement but only partial concept overlap.,diabetic;sugary,3,2,1,missing_condition,"Partially preserved: prohibition + diabetic user condition + sugary snack condition are preserved, but the energy drink condition from the original/formula is missing in the backtranslation."
MINISTRY048,Food Ministry,implication,permission,Adults may be recommended products that are healthy or affordable.,"∀x.∀y.adult(x)∧(healthyMeal(y)∨affordableMeal(y))->P(recommend(System,y,x))","For every user and product, if the user is an adult and the product is a healthy meal, then the system is permitted to recommend the product to the user.",1,partial_concept_overlap,Automatic check found modality agreement but only partial concept overlap.,healthy,2,1,1,missing_condition,"Partially preserved: permission + adult user condition + healthy meal condition are preserved, but the affordable product condition from the original/formula is missing in the backtranslation."
MINISTRY048,Food Ministry,dyadic,permission,Adults may be recommended products that are healthy or affordable.,"∀x.∀y.P(recommend(System,y,x)|adult(x)∧(healthyMeal(y)∨affordableMeal(y)))","For every user and product, if the user is an adult and the product is a healthy meal, then the system is permitted to recommend the product to the user.",1,partial_concept_overlap,Automatic check found modality agreement but only partial concept overlap.,healthy,2,1,1,missing_condition,"Partially preserved: permission + adult user condition + healthy meal condition are preserved, but the affordable product condition from the original/formula is missing in the backtranslation."
MINISTRY078,Food Ministry,implication,obligation,Vulnerable users must be recommended meals that are healthy or affordable.,"∀x.∀y.vulnerableUser(x)∧(healthyMeal(y)∨affordableMeal(y))->O(recommend(System,y,x))","For every user and product, if the product is a healthy meal and the user is vulnerable, then the system is obligated to recommend the product to the user.",1,partial_concept_overlap,Automatic check found modality agreement but only partial concept overlap.,healthy;vulnerable,1,0,1,missing_condition,"Partially preserved: obligation + vulnerable user condition + healthy meal condition are preserved, but the affordable meal condition from the original/formula is missing in the backtranslation."
MINISTRY078,Food Ministry,dyadic,obligation,Vulnerable users must be recommended meals that are healthy or affordable.,"∀x.∀y.O(recommend(System,y,x)|vulnerableUser(x)∧(healthyMeal(y)∨affordableMeal(y)))","For every user and product, if the product is a healthy meal and the user is vulnerable, then the system is obligated to recommend the product to the user.",1,partial_concept_overlap,Automatic check found modality agreement but only partial concept overlap.,healthy;vulnerable,1,0,1,missing_condition,"Partially preserved: obligation + vulnerable user condition + healthy meal condition are preserved, but the affordable meal condition from the original/formula is missing in the backtranslation."
INDUSTRY045,Food Industry,implication,permission,Products that are sponsored or discounted may be recommended.,"∀x.∀y.sponsored(y)∨discounted(y)->P(recommend(System,y,x))","For every user and product, if the product is sponsored, then the system is permitted to recommend the product to the user.",1,partial_concept_overlap,Automatic check found modality agreement but only partial concept overlap.,sponsored,2,1,1,missing_condition,"Partially preserved: permission + sponsored product condition are preserved, but the discounted product condition from the original/formula is missing in the backtranslation."
INDUSTRY045,Food Industry,dyadic,permission,Products that are sponsored or discounted may be recommended.,"∀x.∀y.P(recommend(System,y,x)|sponsored(y)∨discounted(y))","For every user and product, if the product is sponsored, then the system is permitted to recommend the product to the user.",1,partial_concept_overlap,Automatic check found modality agreement but only partial concept overlap.,sponsored,2,1,1,missing_condition,"Partially preserved: permission + sponsored product condition are preserved, but the discounted product condition from the original/formula is missing in the backtranslation."
INDUSTRY046,Food Industry,implication,permission,Products that are premium or certified may be recommended.,"∀x.∀y.premiumProduct(y)∨certified(y)->P(recommend(System,y,x))","For every user and product, if the product is premium, then the system is permitted to recommend the product to the user.",1,partial_concept_overlap,Automatic check found modality agreement but only partial concept overlap.,premium,2,1,1,missing_condition,"Partially preserved: permission + premium product condition are preserved, but the certified product condition from the original/formula is missing in the backtranslation."
INDUSTRY046,Food Industry,dyadic,permission,Products that are premium or certified may be recommended.,"∀x.∀y.P(recommend(System,y,x)|premiumProduct(y)∨certified(y))","For every user and product, if the product is premium, then the system is permitted to recommend the product to the user.",1,partial_concept_overlap,Automatic check found modality agreement but only partial concept overlap.,premium,2,1,1,missing_condition,"Partially preserved: permission + premium product condition are preserved, but the certified product condition from the original/formula is missing in the backtranslation."
INDUSTRY047,Food Industry,implication,permission,Products that are local or sustainable may be recommended.,"∀x.∀y.localProduct(y)∨sustainable(y)->P(recommend(System,y,x))","For every user and product, if the product is local, then the system is permitted to recommend the product to the user.",1,partial_concept_overlap,Automatic check found modality agreement but only partial concept overlap.,local,2,1,1,missing_condition,"Partially preserved: permission + local product condition are preserved, but the sustainable product condition from the original/formula is missing in the backtranslation."
INDUSTRY047,Food Industry,dyadic,permission,Products that are local or sustainable may be recommended.,"∀x.∀y.P(recommend(System,y,x)|localProduct(y)∨sustainable(y))","For every user and product, if the product is local, then the system is permitted to recommend the product to the user.",1,partial_concept_overlap,Automatic check found modality agreement but only partial concept overlap.,local,2,1,1,missing_condition,"Partially preserved: permission + local product condition are preserved, but the sustainable product condition from the original/formula is missing in the backtranslation."
INDUSTRY049,Food Industry,implication,permission,Mediterranean or Asian meals may be recommended.,"∀x.∀y.mediterraneanMeal(y)∨asianMeal(y)->P(recommend(System,y,x))","For every user and product, if the product is a Mediterranean meal, then the system is permitted to recommend the product to the user.",1,partial_concept_overlap,Automatic check found modality agreement but only partial concept overlap.,mediterranean,2,1,1,missing_condition,"Partially preserved: permission + Mediterranean meal condition are preserved, but the Asian meal condition from the original/formula is missing in the backtranslation."
INDUSTRY049,Food Industry,dyadic,permission,Mediterranean or Asian meals may be recommended.,"∀x.∀y.P(recommend(System,y,x)|mediterraneanMeal(y)∨asianMeal(y))","For every user and product, if the product is a Mediterranean meal, then the system is permitted to recommend the product to the user.",1,partial_concept_overlap,Automatic check found modality agreement but only partial concept overlap.,mediterranean,2,1,1,missing_condition,"Partially preserved: permission + Mediterranean meal condition are preserved, but the Asian meal condition from the original/formula is missing in the backtranslation."
INDUSTRY070,Food Industry,implication,permission,Products that are certified or organic may be recommended.,"∀x.∀y.certified(y)∨organic(y)->P(recommend(System,y,x))","For every user and product, if the product is certified, then the system is permitted to recommend the product to the user.",1,partial_concept_overlap,Automatic check found modality agreement but only partial concept overlap.,certified,2,1,1,missing_condition,"Partially preserved: permission + certified product condition are preserved, but the organic product condition from the original/formula is missing in the backtranslation."
INDUSTRY070,Food Industry,dyadic,permission,Products that are certified or organic may be recommended.,"∀x.∀y.P(recommend(System,y,x)|certified(y)∨organic(y))","For every user and product, if the product is certified, then the system is permitted to recommend the product to the user.",1,partial_concept_overlap,Automatic check found modality agreement but only partial concept overlap.,certified,2,1,1,missing_condition,"Partially preserved: permission + certified product condition are preserved, but the organic product condition from the original/formula is missing in the backtranslation."
INDUSTRY089,Food Industry,implication,prohibition,Products that are restricted or not approved must not be recommended.,"∀x.∀y.restricted(y)∨¬approved(y)->F(recommend(System,y,x))","For every user and product, if the product is restricted, then the system is prohibited from recommending the product to the user.",1,partial_concept_overlap,Automatic check found modality agreement but only partial concept overlap.,restricted,2,1,1,missing_condition,"Partially preserved: prohibition + restricted product condition are preserved, but the not-approved product condition from the original/formula is missing in the backtranslation."
INDUSTRY089,Food Industry,dyadic,prohibition,Products that are restricted or not approved must not be recommended.,"∀x.∀y.F(recommend(System,y,x)|restricted(y)∨¬approved(y))","For every user and product, if the product is restricted, then the system is prohibited from recommending the product to the user.",1,partial_concept_overlap,Automatic check found modality agreement but only partial concept overlap.,restricted,2,1,1,missing_condition,"Partially preserved: prohibition + restricted product condition are preserved, but the not-approved product condition from the original/formula is missing in the backtranslation."
INDUSTRY098,Food Industry,implication,prohibition,Products the user avoids or restricted products must not be recommended.,"∀x.∀y.avoids(x,y)∨restricted(y)->F(recommend(System,y,x))","For every user and product, if the user avoids the product, then the system is prohibited from recommending the product to the user.",1,partial_concept_overlap,Automatic check found modality agreement but only partial concept overlap.,avoids,1,0,1,missing_condition,"Partially preserved: prohibition + user-avoids-product condition are preserved, but the restricted product condition from the original/formula is missing in the backtranslation."
INDUSTRY098,Food Industry,dyadic,prohibition,Products the user avoids or restricted products must not be recommended.,"∀x.∀y.F(recommend(System,y,x)|avoids(x,y)∨restricted(y))","For every user and product, if the user avoids the product, then the system is prohibited from recommending the product to the user.",1,partial_concept_overlap,Automatic check found modality agreement but only partial concept overlap.,avoids,1,0,1,missing_condition,"Partially preserved: prohibition + user-avoids-product condition are preserved, but the restricted product condition from the original/formula is missing in the backtranslation."
