id,stakeholder,formula_type,norm_type,original_nl,formula,backtranslated_nl,semantic_score,error_type,notes
USER016,User,dyadic,obligation,Pregnant users must be recommended healthy meals.,"∀x.∀y.O(recommend(System,y,x)|pregnant(x)∧healthyMeal(y))","For every user and product, if the product is a healthy meal and the user is pregnant, then the system is obligated to recommend the product to the user.",,,
USER017,User,implication,prohibition,Pregnant users should not be recommended shellfish meals.,"∀x.∀y.pregnant(x)∧shellfishMeal(y)->F(recommend(System,y,x))","For every user and product, if the user is pregnant and the product is a shellfish meal, then the system is prohibited from recommending the product to the user.",,,
USER017,User,dyadic,prohibition,Pregnant users should not be recommended shellfish meals.,"∀x.∀y.F(recommend(System,y,x)|pregnant(x)∧shellfishMeal(y))","For every user and product, if the user is pregnant and the product is a shellfish meal, then the system is prohibited from recommending the product to the user.",,,
USER018,User,implication,permission,Pregnant users may be recommended low sugar food.,"∀x.∀y.pregnant(x)∧lowSugarFood(y)->P(recommend(System,y,x))","For every user and product, if the product is low in sugar and the user is pregnant, then the system is permitted to recommend the product to the user.",,,
USER018,User,dyadic,permission,Pregnant users may be recommended low sugar food.,"∀x.∀y.P(recommend(System,y,x)|pregnant(x)∧lowSugarFood(y))","For every user and product, if the product is low in sugar and the user is pregnant, then the system is permitted to recommend the product to the user.",,,
USER019,User,implication,prohibition,Diabetic users should not be recommended sugary snacks.,"∀x.∀y.diabetic(x)∧sugarySnack(y)->F(recommend(System,y,x))","For every user and product, if the user is diabetic and the product is a sugary snack, then the system is prohibited from recommending the product to the user.",,,
USER019,User,dyadic,prohibition,Diabetic users should not be recommended sugary snacks.,"∀x.∀y.F(recommend(System,y,x)|diabetic(x)∧sugarySnack(y))","For every user and product, if the user is diabetic and the product is a sugary snack, then the system is prohibited from recommending the product to the user.",,,
USER020,User,implication,obligation,Diabetic users must be recommended low sugar food.,"∀x.∀y.diabetic(x)∧lowSugarFood(y)->O(recommend(System,y,x))","For every user and product, if the user is diabetic and the product is low in sugar, then the system is obligated to recommend the product to the user.",,,
USER020,User,dyadic,obligation,Diabetic users must be recommended low sugar food.,"∀x.∀y.O(recommend(System,y,x)|diabetic(x)∧lowSugarFood(y))","For every user and product, if the user is diabetic and the product is low in sugar, then the system is obligated to recommend the product to the user.",,,
USER021,User,implication,prohibition,Diabetic users should not be recommended energy drinks.,"∀x.∀y.diabetic(x)∧energyDrink(y)->F(recommend(System,y,x))","For every user and product, if the user is diabetic and the product is an energy drink, then the system is prohibited from recommending the product to the user.",,,
USER021,User,dyadic,prohibition,Diabetic users should not be recommended energy drinks.,"∀x.∀y.F(recommend(System,y,x)|diabetic(x)∧energyDrink(y))","For every user and product, if the user is diabetic and the product is an energy drink, then the system is prohibited from recommending the product to the user.",,,
USER022,User,implication,permission,Diabetic users may be recommended healthy meals.,"∀x.∀y.diabetic(x)∧healthyMeal(y)->P(recommend(System,y,x))","For every user and product, if the user is diabetic and the product is a healthy meal, then the system is permitted to recommend the product to the user.",,,
USER022,User,dyadic,permission,Diabetic users may be recommended healthy meals.,"∀x.∀y.P(recommend(System,y,x)|diabetic(x)∧healthyMeal(y))","For every user and product, if the user is diabetic and the product is a healthy meal, then the system is permitted to recommend the product to the user.",,,
USER023,User,implication,prohibition,Hypertensive users should not be recommended salty snacks.,"∀x.∀y.hypertensive(x)∧saltySnack(y)->F(recommend(System,y,x))","For every user and product, if the user is hypertensive and the product is a salty snack, then the system is prohibited from recommending the product to the user.",,,
USER023,User,dyadic,prohibition,Hypertensive users should not be recommended salty snacks.,"∀x.∀y.F(recommend(System,y,x)|hypertensive(x)∧saltySnack(y))","For every user and product, if the user is hypertensive and the product is a salty snack, then the system is prohibited from recommending the product to the user.",,,
USER024,User,implication,obligation,Hypertensive users must be recommended low salt food.,"∀x.∀y.hypertensive(x)∧lowSaltFood(y)->O(recommend(System,y,x))","For every user and product, if the user is hypertensive and the product is low in salt, then the system is obligated to recommend the product to the user.",,,
USER024,User,dyadic,obligation,Hypertensive users must be recommended low salt food.,"∀x.∀y.O(recommend(System,y,x)|hypertensive(x)∧lowSaltFood(y))","For every user and product, if the user is hypertensive and the product is low in salt, then the system is obligated to recommend the product to the user.",,,
USER025,User,implication,prohibition,Hypertensive users should not be recommended ultra-processed food.,"∀x.∀y.hypertensive(x)∧ultraProcessedFood(y)->F(recommend(System,y,x))","For every user and product, if the user is hypertensive and the product is ultra-processed, then the system is prohibited from recommending the product to the user.",,,
USER025,User,dyadic,prohibition,Hypertensive users should not be recommended ultra-processed food.,"∀x.∀y.F(recommend(System,y,x)|hypertensive(x)∧ultraProcessedFood(y))","For every user and product, if the user is hypertensive and the product is ultra-processed, then the system is prohibited from recommending the product to the user.",,,
USER026,User,implication,permission,Hypertensive users may be recommended Mediterranean meals.,"∀x.∀y.hypertensive(x)∧mediterraneanMeal(y)->P(recommend(System,y,x))","For every user and product, if the user is hypertensive and the product is a Mediterranean meal, then the system is permitted to recommend the product to the user.",,,
USER026,User,dyadic,permission,Hypertensive users may be recommended Mediterranean meals.,"∀x.∀y.P(recommend(System,y,x)|hypertensive(x)∧mediterraneanMeal(y))","For every user and product, if the user is hypertensive and the product is a Mediterranean meal, then the system is permitted to recommend the product to the user.",,,
USER027,User,implication,prohibition,Users allergic to nuts should not be recommended nut snacks.,"∀x.∀y.allergicTo(x,Nuts)∧nutSnack(y)->F(recommend(System,y,x))","For every user and product, if the user is allergic to nuts and the product is a nut snack, then the system is prohibited from recommending the product to the user.",,,
USER027,User,dyadic,prohibition,Users allergic to nuts should not be recommended nut snacks.,"∀x.∀y.F(recommend(System,y,x)|allergicTo(x,Nuts)∧nutSnack(y))","For every user and product, if the user is allergic to nuts and the product is a nut snack, then the system is prohibited from recommending the product to the user.",,,
USER028,User,implication,prohibition,Users allergic to nuts should not be recommended food containing nuts.,"∀x.∀y.allergicTo(x,Nuts)∧contains(y,Nuts)->F(recommend(System,y,x))","For every user and product, if the user is allergic to nuts and the product contains nuts, then the system is prohibited from recommending the product to the user.",,,
USER028,User,dyadic,prohibition,Users allergic to nuts should not be recommended food containing nuts.,"∀x.∀y.F(recommend(System,y,x)|allergicTo(x,Nuts)∧contains(y,Nuts))","For every user and product, if the user is allergic to nuts and the product contains nuts, then the system is prohibited from recommending the product to the user.",,,
USER029,User,implication,prohibition,Users allergic to shellfish should not be recommended shellfish meals.,"∀x.∀y.allergicTo(x,Shellfish)∧shellfishMeal(y)->F(recommend(System,y,x))","For every user and product, if the user is allergic to shellfish and the product is a shellfish meal, then the system is prohibited from recommending the product to the user.",,,
USER029,User,dyadic,prohibition,Users allergic to shellfish should not be recommended shellfish meals.,"∀x.∀y.F(recommend(System,y,x)|allergicTo(x,Shellfish)∧shellfishMeal(y))","For every user and product, if the user is allergic to shellfish and the product is a shellfish meal, then the system is prohibited from recommending the product to the user.",,,
USER030,User,implication,prohibition,Users allergic to shellfish should not be recommended food containing shellfish.,"∀x.∀y.allergicTo(x,Shellfish)∧contains(y,Shellfish)->F(recommend(System,y,x))","For every user and product, if the user is allergic to shellfish and the product contains shellfish, then the system is prohibited from recommending the product to the user.",,,
USER030,User,dyadic,prohibition,Users allergic to shellfish should not be recommended food containing shellfish.,"∀x.∀y.F(recommend(System,y,x)|allergicTo(x,Shellfish)∧contains(y,Shellfish))","For every user and product, if the user is allergic to shellfish and the product contains shellfish, then the system is prohibited from recommending the product to the user.",,,
USER031,User,implication,obligation,Vegan users must be recommended vegan meals.,"∀x.∀y.vegan(x)∧veganMeal(y)->O(recommend(System,y,x))","For every user and product, if the user is vegan and the product is a vegan meal, then the system is obligated to recommend the product to the user.",,,
USER031,User,dyadic,obligation,Vegan users must be recommended vegan meals.,"∀x.∀y.O(recommend(System,y,x)|vegan(x)∧veganMeal(y))","For every user and product, if the user is vegan and the product is a vegan meal, then the system is obligated to recommend the product to the user.",,,
USER032,User,implication,prohibition,Vegan users should not be recommended non-vegan products.,"∀x.∀y.vegan(x)∧nonVegan(y)->F(recommend(System,y,x))","For every user and product, if the product is non-vegan and the user is vegan, then the system is prohibited from recommending the product to the user.",,,
USER032,User,dyadic,prohibition,Vegan users should not be recommended non-vegan products.,"∀x.∀y.F(recommend(System,y,x)|vegan(x)∧nonVegan(y))","For every user and product, if the product is non-vegan and the user is vegan, then the system is prohibited from recommending the product to the user.",,,
USER033,User,implication,permission,Vegan users may be recommended sustainable meals.,"∀x.∀y.vegan(x)∧sustainableMeal(y)->P(recommend(System,y,x))","For every user and product, if sustainable meal holds for the product and the user is vegan, then the system is permitted to recommend the product to the user.",,,
USER033,User,dyadic,permission,Vegan users may be recommended sustainable meals.,"∀x.∀y.P(recommend(System,y,x)|vegan(x)∧sustainableMeal(y))","For every user and product, if sustainable meal holds for the product and the user is vegan, then the system is permitted to recommend the product to the user.",,,
USER034,User,implication,permission,Vegetarian users may be recommended vegetarian meals.,"∀x.∀y.vegetarian(x)∧vegetarianMeal(y)->P(recommend(System,y,x))","For every user and product, if the user is vegetarian and the product is a vegetarian meal, then the system is permitted to recommend the product to the user.",,,
USER034,User,dyadic,permission,Vegetarian users may be recommended vegetarian meals.,"∀x.∀y.P(recommend(System,y,x)|vegetarian(x)∧vegetarianMeal(y))","For every user and product, if the user is vegetarian and the product is a vegetarian meal, then the system is permitted to recommend the product to the user.",,,
USER035,User,implication,prohibition,Vegetarian users should not be recommended shellfish meals.,"∀x.∀y.vegetarian(x)∧shellfishMeal(y)->F(recommend(System,y,x))","For every user and product, if the product is a shellfish meal and the user is vegetarian, then the system is prohibited from recommending the product to the user.",,,
USER035,User,dyadic,prohibition,Vegetarian users should not be recommended shellfish meals.,"∀x.∀y.F(recommend(System,y,x)|vegetarian(x)∧shellfishMeal(y))","For every user and product, if the product is a shellfish meal and the user is vegetarian, then the system is prohibited from recommending the product to the user.",,,
USER036,User,implication,obligation,Users who require halal food must be recommended halal meals.,"∀x.∀y.requiresHalal(x)∧halalMeal(y)->O(recommend(System,y,x))","For every user and product, if the product is a halal meal and the user requires halal food, then the system is obligated to recommend the product to the user.",,,
USER036,User,dyadic,obligation,Users who require halal food must be recommended halal meals.,"∀x.∀y.O(recommend(System,y,x)|requiresHalal(x)∧halalMeal(y))","For every user and product, if the product is a halal meal and the user requires halal food, then the system is obligated to recommend the product to the user.",,,
USER037,User,implication,permission,Users who require halal food may be recommended certified halal products.,"∀x.∀y.requiresHalal(x)∧certifiedHalal(y)->P(recommend(System,y,x))","For every user and product, if the product is certified halal and the user requires halal food, then the system is permitted to recommend the product to the user.",,,
USER037,User,dyadic,permission,Users who require halal food may be recommended certified halal products.,"∀x.∀y.P(recommend(System,y,x)|requiresHalal(x)∧certifiedHalal(y))","For every user and product, if the product is certified halal and the user requires halal food, then the system is permitted to recommend the product to the user.",,,
USER038,User,implication,obligation,Users who require kosher food must be recommended kosher meals.,"∀x.∀y.requiresKosher(x)∧kosherMeal(y)->O(recommend(System,y,x))","For every user and product, if the product is a kosher meal and the user requires kosher food, then the system is obligated to recommend the product to the user.",,,
USER038,User,dyadic,obligation,Users who require kosher food must be recommended kosher meals.,"∀x.∀y.O(recommend(System,y,x)|requiresKosher(x)∧kosherMeal(y))","For every user and product, if the product is a kosher meal and the user requires kosher food, then the system is obligated to recommend the product to the user.",,,
USER039,User,implication,permission,Users who require kosher food may be recommended certified kosher products.,"∀x.∀y.requiresKosher(x)∧certifiedKosher(y)->P(recommend(System,y,x))","For every user and product, if the product is certified kosher and the user requires kosher food, then the system is permitted to recommend the product to the user.",,,
USER039,User,dyadic,permission,Users who require kosher food may be recommended certified kosher products.,"∀x.∀y.P(recommend(System,y,x)|requiresKosher(x)∧certifiedKosher(y))","For every user and product, if the product is certified kosher and the user requires kosher food, then the system is permitted to recommend the product to the user.",,,
USER040,User,implication,prohibition,Users who require kosher food should not be recommended shellfish meals.,"∀x.∀y.requiresKosher(x)∧shellfishMeal(y)->F(recommend(System,y,x))","For every user and product, if the user requires kosher food and the product is a shellfish meal, then the system is prohibited from recommending the product to the user.",,,
USER040,User,dyadic,prohibition,Users who require kosher food should not be recommended shellfish meals.,"∀x.∀y.F(recommend(System,y,x)|requiresKosher(x)∧shellfishMeal(y))","For every user and product, if the user requires kosher food and the product is a shellfish meal, then the system is prohibited from recommending the product to the user.",,,
USER041,User,implication,obligation,Users who require gluten-free food must be recommended gluten-free meals.,"∀x.∀y.requiresGlutenFree(x)∧glutenFreeMeal(y)->O(recommend(System,y,x))","For every user and product, if the product is a gluten-free meal and the user requires gluten-free food, then the system is obligated to recommend the product to the user.",,,
USER041,User,dyadic,obligation,Users who require gluten-free food must be recommended gluten-free meals.,"∀x.∀y.O(recommend(System,y,x)|requiresGlutenFree(x)∧glutenFreeMeal(y))","For every user and product, if the product is a gluten-free meal and the user requires gluten-free food, then the system is obligated to recommend the product to the user.",,,
USER042,User,implication,permission,Users who require gluten-free food may be recommended certified gluten-free products.,"∀x.∀y.requiresGlutenFree(x)∧certifiedGlutenFree(y)->P(recommend(System,y,x))","For every user and product, if the product is certified gluten-free and the user requires gluten-free food, then the system is permitted to recommend the product to the user.",,,
USER042,User,dyadic,permission,Users who require gluten-free food may be recommended certified gluten-free products.,"∀x.∀y.P(recommend(System,y,x)|requiresGlutenFree(x)∧certifiedGlutenFree(y))","For every user and product, if the product is certified gluten-free and the user requires gluten-free food, then the system is permitted to recommend the product to the user.",,,
USER043,User,implication,prohibition,Gluten sensitive users should not be recommended non gluten-free meals.,"∀x.∀y.glutenSensitive(x)∧¬glutenFreeMeal(y)->F(recommend(System,y,x))","For every user and product, if the user is gluten-sensitive and it is not the case that the product is a gluten-free meal, then the system is prohibited from recommending the product to the user.",,,
USER043,User,dyadic,prohibition,Gluten sensitive users should not be recommended non gluten-free meals.,"∀x.∀y.F(recommend(System,y,x)|glutenSensitive(x)∧¬glutenFreeMeal(y))","For every user and product, if the user is gluten-sensitive and it is not the case that the product is a gluten-free meal, then the system is prohibited from recommending the product to the user.",,,
USER044,User,implication,obligation,Users who require lactose-free food must be recommended lactose-free meals.,"∀x.∀y.requiresLactoseFree(x)∧lactoseFreeMeal(y)->O(recommend(System,y,x))","For every user and product, if the product is a lactose-free meal and the user requires lactose-free food, then the system is obligated to recommend the product to the user.",,,
USER044,User,dyadic,obligation,Users who require lactose-free food must be recommended lactose-free meals.,"∀x.∀y.O(recommend(System,y,x)|requiresLactoseFree(x)∧lactoseFreeMeal(y))","For every user and product, if the product is a lactose-free meal and the user requires lactose-free food, then the system is obligated to recommend the product to the user.",,,
USER045,User,implication,permission,Lactose intolerant users may be recommended certified lactose-free products.,"∀x.∀y.lactoseIntolerant(x)∧certifiedLactoseFree(y)->P(recommend(System,y,x))","For every user and product, if the product is certified lactose-free and the user is lactose-intolerant, then the system is permitted to recommend the product to the user.",,,
USER045,User,dyadic,permission,Lactose intolerant users may be recommended certified lactose-free products.,"∀x.∀y.P(recommend(System,y,x)|lactoseIntolerant(x)∧certifiedLactoseFree(y))","For every user and product, if the product is certified lactose-free and the user is lactose-intolerant, then the system is permitted to recommend the product to the user.",,,
USER046,User,implication,prohibition,Lactose intolerant users should not be recommended non lactose-free meals.,"∀x.∀y.lactoseIntolerant(x)∧¬lactoseFreeMeal(y)->F(recommend(System,y,x))","For every user and product, if the user is lactose-intolerant and it is not the case that the product is a lactose-free meal, then the system is prohibited from recommending the product to the user.",,,
USER046,User,dyadic,prohibition,Lactose intolerant users should not be recommended non lactose-free meals.,"∀x.∀y.F(recommend(System,y,x)|lactoseIntolerant(x)∧¬lactoseFreeMeal(y))","For every user and product, if the user is lactose-intolerant and it is not the case that the product is a lactose-free meal, then the system is prohibited from recommending the product to the user.",,,
USER047,User,implication,obligation,Users who require low sugar must be recommended low sugar food.,"∀x.∀y.requiresLowSugar(x)∧lowSugarFood(y)->O(recommend(System,y,x))","For every user and product, if the product is low in sugar and the user requires low-sugar food, then the system is obligated to recommend the product to the user.",,,
USER047,User,dyadic,obligation,Users who require low sugar must be recommended low sugar food.,"∀x.∀y.O(recommend(System,y,x)|requiresLowSugar(x)∧lowSugarFood(y))","For every user and product, if the product is low in sugar and the user requires low-sugar food, then the system is obligated to recommend the product to the user.",,,
USER048,User,implication,prohibition,Users who require low sugar should not be recommended sugary snacks.,"∀x.∀y.requiresLowSugar(x)∧sugarySnack(y)->F(recommend(System,y,x))","For every user and product, if the user requires low-sugar food and the product is a sugary snack, then the system is prohibited from recommending the product to the user.",,,
USER048,User,dyadic,prohibition,Users who require low sugar should not be recommended sugary snacks.,"∀x.∀y.F(recommend(System,y,x)|requiresLowSugar(x)∧sugarySnack(y))","For every user and product, if the user requires low-sugar food and the product is a sugary snack, then the system is prohibited from recommending the product to the user.",,,
USER049,User,implication,obligation,Users who require low salt must be recommended low salt food.,"∀x.∀y.requiresLowSalt(x)∧lowSaltFood(y)->O(recommend(System,y,x))","For every user and product, if the product is low in salt and the user requires low-salt food, then the system is obligated to recommend the product to the user.",,,
USER049,User,dyadic,obligation,Users who require low salt must be recommended low salt food.,"∀x.∀y.O(recommend(System,y,x)|requiresLowSalt(x)∧lowSaltFood(y))","For every user and product, if the product is low in salt and the user requires low-salt food, then the system is obligated to recommend the product to the user.",,,
USER050,User,implication,prohibition,Users who require low salt should not be recommended salty snacks.,"∀x.∀y.requiresLowSalt(x)∧saltySnack(y)->F(recommend(System,y,x))","For every user and product, if the user requires low-salt food and the product is a salty snack, then the system is prohibited from recommending the product to the user.",,,
USER050,User,dyadic,prohibition,Users who require low salt should not be recommended salty snacks.,"∀x.∀y.F(recommend(System,y,x)|requiresLowSalt(x)∧saltySnack(y))","For every user and product, if the user requires low-salt food and the product is a salty snack, then the system is prohibited from recommending the product to the user.",,,
USER051,User,implication,permission,Users may be recommended products they prefer.,"∀x.∀y.prefers(x,y)->P(recommend(System,y,x))","For every user and product, if the user prefers the product, then the system is permitted to recommend the product to the user.",,,
USER051,User,dyadic,permission,Users may be recommended products they prefer.,"∀x.∀y.P(recommend(System,y,x)|prefers(x,y))","For every user and product, if the user prefers the product, then the system is permitted to recommend the product to the user.",,,
USER052,User,implication,prohibition,Users should not be recommended products they avoid.,"∀x.∀y.avoids(x,y)->F(recommend(System,y,x))","For every user and product, if the user avoids the product, then the system is prohibited from recommending the product to the user.",,,
USER052,User,dyadic,prohibition,Users should not be recommended products they avoid.,"∀x.∀y.F(recommend(System,y,x)|avoids(x,y))","For every user and product, if the user avoids the product, then the system is prohibited from recommending the product to the user.",,,
USER053,User,implication,permission,Users who prefer Mediterranean cuisine may be recommended Mediterranean meals.,"∀x.∀y.prefers(x,y)∧mediterraneanMeal(y)->P(recommend(System,y,x))","For every user and product, if the product is a Mediterranean meal and the user prefers the product, then the system is permitted to recommend the product to the user.",,,
USER053,User,dyadic,permission,Users who prefer Mediterranean cuisine may be recommended Mediterranean meals.,"∀x.∀y.P(recommend(System,y,x)|prefers(x,y)∧mediterraneanMeal(y))","For every user and product, if the product is a Mediterranean meal and the user prefers the product, then the system is permitted to recommend the product to the user.",,,
USER054,User,implication,permission,Users who prefer Asian cuisine may be recommended Asian meals.,"∀x.∀y.prefers(x,y)∧asianMeal(y)->P(recommend(System,y,x))","For every user and product, if the product is an Asian meal and the user prefers the product, then the system is permitted to recommend the product to the user.",,,
USER054,User,dyadic,permission,Users who prefer Asian cuisine may be recommended Asian meals.,"∀x.∀y.P(recommend(System,y,x)|prefers(x,y)∧asianMeal(y))","For every user and product, if the product is an Asian meal and the user prefers the product, then the system is permitted to recommend the product to the user.",,,
USER055,User,implication,permission,Users who prefer affordable food may be recommended affordable meals.,"∀x.∀y.prefers(x,y)∧affordableMeal(y)->P(recommend(System,y,x))","For every user and product, if the product is an affordable meal and the user prefers the product, then the system is permitted to recommend the product to the user.",,,
USER055,User,dyadic,permission,Users who prefer affordable food may be recommended affordable meals.,"∀x.∀y.P(recommend(System,y,x)|prefers(x,y)∧affordableMeal(y))","For every user and product, if the product is an affordable meal and the user prefers the product, then the system is permitted to recommend the product to the user.",,,
USER056,User,implication,permission,Users may be recommended organic food.,"∀x.∀y.organicFood(y)->P(recommend(System,y,x))","For every user and product, if the product is organic food, then the system is permitted to recommend the product to the user.",,,
USER056,User,dyadic,permission,Users may be recommended organic food.,"∀x.∀y.P(recommend(System,y,x)|organicFood(y))","For every user and product, if the product is organic food, then the system is permitted to recommend the product to the user.",,,
USER057,User,implication,permission,Users may be recommended sustainable meals.,"∀x.∀y.sustainableMeal(y)->P(recommend(System,y,x))","For every user and product, if sustainable meal holds for the product, then the system is permitted to recommend the product to the user.",,,
