id,stakeholder,formulation_type,nl_norm,logic_formula
MINISTRY044,Food Ministry,simple_prohibition,The system must not ignore required warnings,∀x.F(¬requiresWarning(EnergyDrink))
MINISTRY045,Food Ministry,dyadic_prohibition,Pregnant users must not receive energy drinks requiring warnings,"∀x.F(recommend(System,EnergyDrink)|pregnant(x)∧requiresWarning(EnergyDrink))"
MINISTRY046,Food Ministry,dyadic_obligation,Pregnant users must receive approved meals safe for pregnant users,"∀x.O(recommend(System,HealthyMeal)|pregnant(x)∧safeForPregnantUsers(HealthyMeal)∧approvedByMinistry(ApprovedFood))"
MINISTRY047,Food Ministry,dyadic_permission,Pregnant users may receive approved healthy meals,"∀x.P(recommend(System,HealthyMeal)|pregnant(x)∧approvedByMinistry(ApprovedFood))"
MINISTRY048,Food Ministry,implication_prohibition,Foods containing nuts must not be recommended to nut allergic users,"∀x.allergicTo(x,Nuts)∧contains(NutSnack,Nuts)->F(recommend(System,NutSnack))"
MINISTRY049,Food Ministry,implication_prohibition,Foods containing shellfish must not be recommended to shellfish allergic users,"∀x.allergicTo(x,Shellfish)∧contains(ShellfishMeal,Shellfish)->F(recommend(System,ShellfishMeal))"
MINISTRY050,Food Ministry,implication_obligation,Allergic users must receive approved alternatives,"∀x.allergicTo(x,Nuts)∨allergicTo(x,Shellfish)->O(recommend(System,ApprovedFood))"
MINISTRY051,Food Ministry,dyadic_obligation,Diabetic users must receive approved low sugar alternatives when sugary snacks exceed limits,"∀x.O(recommend(System,LowSugarFood)|diabetic(x)∧exceedsSugarLimit(SugarySnack))"
MINISTRY052,Food Ministry,dyadic_permission,Affordable meals may be recommended when they support healthy access,"∀x.P(recommend(System,AffordableMeal)|affordable(AffordableMeal)∧healthy(HealthyMeal))"
MINISTRY053,Food Ministry,dyadic_prohibition,Organic foods with misleading claims must not be recommended,"∀x.F(recommend(System,OrganicFood)|misleadingClaim(OrganicFood))"
MINISTRY054,Food Ministry,implication_obligation,Foods with required warnings must display safety warnings,∀x.requiresWarning(EnergyDrink)->O(hasSafetyWarning(EnergyDrink))
MINISTRY055,Food Ministry,implication_permission,Guideline compliant affordable meals may be recommended to vulnerable users,"∀x.vulnerableUser(x)∧compliesWithGuideline(ApprovedFood)->P(recommend(System,AffordableMeal))"
MINISTRY056,Food Ministry,implication_prohibition,Foods lacking nutrition labels must not be recommended as approved food,"∀x.¬hasNutritionLabel(ApprovedFood)->F(recommend(System,ApprovedFood))"
MINISTRY057,Food Ministry,simple_obligation,The system must recommend low sugar food as a diabetic safe option,∀x.O(safeForDiabeticUsers(LowSugarFood))
MINISTRY058,Food Ministry,simple_permission,The system may recommend low salt food,"∀x.P(recommend(System,LowSaltFood))"
MINISTRY059,Food Ministry,simple_prohibition,The system must not recommend food banned for children,∀x.F(bannedForChildren(EnergyDrink))
MINISTRY060,Food Ministry,dyadic_obligation,Children must receive affordable healthy food when available as a public access safeguard,"∀x.O(recommend(System,AffordableMeal)|child(x)∧affordable(AffordableMeal))"
MINISTRY061,Food Ministry,dyadic_permission,Adults may receive sustainable meals when sustainability claims are not misleading,"∀x.P(recommend(System,SustainableMeal)|adult(x)∧¬misleadingClaim(SustainableMeal))"
MINISTRY062,Food Ministry,dyadic_prohibition,Sustainable meals with misleading claims must not be recommended,"∀x.F(recommend(System,SustainableMeal)|misleadingClaim(SustainableMeal))"
MINISTRY063,Food Ministry,implication_obligation,Users requiring halal food must receive only verified halal recommendations,∀x.requiresHalal(x)->O(verifiedHalal(HalalMeal))
MINISTRY064,Food Ministry,implication_obligation,Users requiring kosher food must receive only verified kosher recommendations,∀x.requiresKosher(x)->O(verifiedKosher(KosherMeal))
MINISTRY065,Food Ministry,implication_permission,Verified halal meals may be recommended to users requiring halal food,"∀x.requiresHalal(x)∧verifiedHalal(HalalMeal)->P(recommend(System,HalalMeal))"
MINISTRY066,Food Ministry,dyadic_permission,Verified kosher meals may be recommended to users requiring kosher food,"∀x.P(recommend(System,KosherMeal)|requiresKosher(x)∧verifiedKosher(KosherMeal))"
MINISTRY067,Food Ministry,dyadic_prohibition,Uncertified gluten free meals must not be recommended to gluten sensitive users,"∀x.F(recommend(System,GlutenFreeMeal)|glutenSensitive(x)∧¬certifiedGlutenFree(GlutenFreeMeal))"
MINISTRY068,Food Ministry,dyadic_prohibition,Uncertified lactose free meals must not be recommended to lactose intolerant users,"∀x.F(recommend(System,LactoseFreeMeal)|lactoseIntolerant(x)∧¬certifiedLactoseFree(LactoseFreeMeal))"
MINISTRY069,Food Ministry,implication_obligation,Gluten sensitive users must receive certified gluten free meals,"∀x.glutenSensitive(x)->O(recommend(System,GlutenFreeMeal))"
MINISTRY070,Food Ministry,implication_permission,Lactose intolerant users may receive certified lactose free meals,"∀x.lactoseIntolerant(x)∧certifiedLactoseFree(LactoseFreeMeal)->P(recommend(System,LactoseFreeMeal))"
MINISTRY071,Food Ministry,implication_prohibition,Children or vulnerable users must not receive energy drinks exceeding sugar limits,"∀x.child(x)∨vulnerableUser(x)->F(recommend(System,EnergyDrink))"
MINISTRY072,Food Ministry,simple_obligation,The system must enforce ministry approval for approved foods,∀x.O(approvedByMinistry(ApprovedFood))
MINISTRY073,Food Ministry,simple_permission,The system may recommend affordable meals,"∀x.P(recommend(System,AffordableMeal))"
MINISTRY074,Food Ministry,simple_prohibition,The system must not recommend foods exceeding sugar limits,∀x.F(exceedsSugarLimit(SugarySnack))
MINISTRY075,Food Ministry,dyadic_obligation,Vulnerable users must receive low salt food when salt limits are relevant,"∀x.O(recommend(System,LowSaltFood)|vulnerableUser(x)∧exceedsSaltLimit(SaltySnack))"
MINISTRY076,Food Ministry,dyadic_permission,Healthy meals may be recommended to adults and elderly users,"∀x.P(recommend(System,HealthyMeal)|adult(x)∨elderly(x))"
MINISTRY077,Food Ministry,dyadic_prohibition,Fried meals exceeding fat limits must not be recommended to vulnerable users,"∀x.F(recommend(System,FriedMeal)|vulnerableUser(x)∧exceedsFatLimit(FriedMeal))"
MINISTRY078,Food Ministry,implication_obligation,Foods with undeclared allergens must trigger prohibition of recommendation,"∀x.containsUndeclaredAllergen(NutSnack)->O(F(recommend(System,NutSnack)))"
MINISTRY079,Food Ministry,implication_permission,Adults may receive warning foods when required safety warnings are shown,"∀x.adult(x)∧hasSafetyWarning(EnergyDrink)->P(recommend(System,WarningFood))"
MINISTRY080,Food Ministry,implication_prohibition,Pregnant users or children must not receive warning foods,"∀x.pregnant(x)∨child(x)->F(recommend(System,WarningFood))"
MINISTRY081,Food Ministry,dyadic_obligation,Users with religious diet requirements must receive verified religious diet meals,"∀x.O(recommend(System,HalalMeal)|requiresHalal(x)∧verifiedHalal(HalalMeal))"
MINISTRY082,Food Ministry,dyadic_permission,Users with kosher requirements may receive verified kosher meals with nutrition labels,"∀x.P(recommend(System,KosherMeal)|requiresKosher(x)∧verifiedKosher(KosherMeal)∧hasNutritionLabel(ApprovedFood))"
MINISTRY083,Food Ministry,dyadic_prohibition,Meals with misleading halal verification must not be recommended,"∀x.F(recommend(System,HalalMeal)|requiresHalal(x)∧misleadingClaim(HalalMeal))"
MINISTRY084,Food Ministry,implication_obligation,Medical dietary requirements must be accommodated with certified meals,"∀x.requiresGlutenFree(x)∨requiresLactoseFree(x)->O(recommend(System,GlutenFreeMeal))"
MINISTRY085,Food Ministry,implication_permission,Certified gluten free meals may be recommended to users requiring gluten free food,"∀x.requiresGlutenFree(x)∧certifiedGlutenFree(GlutenFreeMeal)->P(recommend(System,GlutenFreeMeal))"
MINISTRY086,Food Ministry,implication_prohibition,Lactose intolerant users must not receive uncertified lactose free claims,"∀x.lactoseIntolerant(x)∧misleadingClaim(LactoseFreeMeal)->F(recommend(System,LactoseFreeMeal))"
MINISTRY087,Food Ministry,simple_obligation,The system must respect allergen disclosure,"∀x.O(contains(NutSnack,Nuts))"
MINISTRY088,Food Ministry,simple_permission,The system may recommend certified gluten free meals,"∀x.P(recommend(System,GlutenFreeMeal))"
MINISTRY089,Food Ministry,simple_prohibition,The system must not recommend foods with undeclared allergens,∀x.F(containsUndeclaredAllergen(NutSnack))
MINISTRY090,Food Ministry,dyadic_obligation,Users with diabetic risk must receive low sugar recommendations when sugar limits are exceeded,"∀x.O(recommend(System,LowSugarFood)|diabetic(x)∧exceedsSugarLimit(EnergyDrink))"
MINISTRY091,Food Ministry,dyadic_permission,Low salt food may be recommended to elderly users when guideline compliant,"∀x.P(recommend(System,LowSaltFood)|elderly(x)∧compliesWithGuideline(ApprovedFood))"
MINISTRY092,Food Ministry,dyadic_prohibition,Restricted foods must not be recommended to vulnerable users,"∀x.F(recommend(System,RestrictedFood)|vulnerableUser(x)∧restricted(RestrictedFood))"
MINISTRY093,Food Ministry,implication_obligation,Affordable healthy access must be provided to children,"∀x.child(x)->O(recommend(System,AffordableMeal))"
MINISTRY094,Food Ministry,implication_permission,Affordable meals may be recommended when they are healthy,"∀x.affordable(AffordableMeal)∧healthy(HealthyMeal)->P(recommend(System,AffordableMeal))"
MINISTRY095,Food Ministry,implication_prohibition,Foods with misleading sustainability claims must not be recommended,"∀x.misleadingClaim(SustainableMeal)->F(recommend(System,SustainableMeal))"
MINISTRY096,Food Ministry,dyadic_obligation,Adults with hypertension must receive low salt recommendations,"∀x.O(recommend(System,LowSaltFood)|adult(x)∧hypertensive(x))"
MINISTRY097,Food Ministry,dyadic_permission,Approved warning foods may be recommended to adults when warnings are present,"∀x.P(recommend(System,WarningFood)|adult(x)∧hasSafetyWarning(EnergyDrink))"
MINISTRY098,Food Ministry,dyadic_prohibition,Energy drinks must not be recommended when warnings are absent,"∀x.F(recommend(System,EnergyDrink)|requiresWarning(EnergyDrink)∧¬hasSafetyWarning(EnergyDrink))"
MINISTRY099,Food Ministry,implication_obligation,Approved foods must comply with guidelines,∀x.approvedByMinistry(ApprovedFood)->O(compliesWithGuideline(ApprovedFood))
MINISTRY100,Food Ministry,implication_permission,Healthy approved meals may be recommended to all users,"∀x.healthy(HealthyMeal)∧approvedByMinistry(ApprovedFood)->P(recommend(System,HealthyMeal))"
