source,id,stakeholder,norm_type,formula_type,nl_norm,formula,parser_valid,expected_pattern,auto_semantic_score,auto_error_type,ast_node_count,ast_depth,ast_predicate_count
baseline,USER012,User,prohibition,dyadic,Hypertensive users should not receive salty snack recommendations,"∀x.∀y.F(recommend(System,y,x)|hypertensive(x)∧saltySnack(y))",True,True,2,none,7,5,3
baseline,USER013,User,permission,implication,Hypertensive users may receive healthy low salt meal recommendations,"∀x.∀y.hypertensive(x)∧healthyMeal(y)∧lowSaltFood(y)->P(recommend(System,y,x))",True,True,2,none,10,6,4
baseline,USER013,User,permission,dyadic,Hypertensive users may receive healthy low salt meal recommendations,"∀x.∀y.P(recommend(System,y,x)|hypertensive(x)∧healthyMeal(y)∧lowSaltFood(y))",True,True,2,none,9,6,4
baseline,USER014,User,prohibition,implication,Users requiring low salt food should not receive high salt products,"∀x.∀y.requiresLowSalt(x)∧highSaltProduct(y)->F(recommend(System,y,x))",True,True,2,none,8,5,3
baseline,USER014,User,prohibition,dyadic,Users requiring low salt food should not receive high salt products,"∀x.∀y.F(recommend(System,y,x)|requiresLowSalt(x)∧highSaltProduct(y))",True,True,2,none,7,5,3
baseline,USER015,User,obligation,implication,Users requiring low salt food should receive low salt alternatives,"∀x.∀y.requiresLowSalt(x)∧lowSaltFood(y)->O(recommend(System,y,x))",True,True,2,none,8,5,3
baseline,USER015,User,obligation,dyadic,Users requiring low salt food should receive low salt alternatives,"∀x.∀y.O(recommend(System,y,x)|requiresLowSalt(x)∧lowSaltFood(y))",True,True,2,none,7,5,3
baseline,USER016,User,obligation,implication,Pregnant users should receive safe meal recommendations,"∀x.∀y.pregnant(x)∧safeForPregnantUsers(y)->O(recommend(System,y,x))",True,True,2,none,8,5,3
baseline,USER016,User,obligation,dyadic,Pregnant users should receive safe meal recommendations,"∀x.∀y.O(recommend(System,y,x)|pregnant(x)∧safeForPregnantUsers(y))",True,True,2,none,7,5,3
baseline,USER017,User,prohibition,implication,Pregnant users should not receive energy drink recommendations,"∀x.∀y.pregnant(x)∧energyDrink(y)->F(recommend(System,y,x))",True,True,2,none,8,5,3
baseline,USER017,User,prohibition,dyadic,Pregnant users should not receive energy drink recommendations,"∀x.∀y.F(recommend(System,y,x)|pregnant(x)∧energyDrink(y))",True,True,2,none,7,5,3
baseline,USER018,User,permission,implication,Pregnant users may receive mild healthy meal recommendations,"∀x.∀y.pregnant(x)∧mildMeal(y)∧healthyMeal(y)->P(recommend(System,y,x))",True,True,2,none,10,6,4
baseline,USER018,User,permission,dyadic,Pregnant users may receive mild healthy meal recommendations,"∀x.∀y.P(recommend(System,y,x)|pregnant(x)∧mildMeal(y)∧healthyMeal(y))",True,True,2,none,9,6,4
baseline,USER019,User,prohibition,implication,Pregnant users should not receive products requiring safety warnings,"∀x.∀y.pregnant(x)∧requiresWarning(y)->F(recommend(System,y,x))",True,True,2,none,8,5,3
baseline,USER019,User,prohibition,dyadic,Pregnant users should not receive products requiring safety warnings,"∀x.∀y.F(recommend(System,y,x)|pregnant(x)∧requiresWarning(y))",True,True,2,none,7,5,3
baseline,USER020,User,obligation,implication,Pregnant users should receive affordable healthy meal recommendations,"∀x.∀y.pregnant(x)∧healthyMeal(y)∧affordableMeal(y)->O(recommend(System,y,x))",True,True,2,none,10,6,4
baseline,USER020,User,obligation,dyadic,Pregnant users should receive affordable healthy meal recommendations,"∀x.∀y.O(recommend(System,y,x)|pregnant(x)∧healthyMeal(y)∧affordableMeal(y))",True,True,2,none,9,6,4
baseline,USER021,User,obligation,implication,Elderly users should receive healthy meal recommendations,"∀x.∀y.elderly(x)∧healthyMeal(y)->O(recommend(System,y,x))",True,True,2,none,8,5,3
baseline,USER021,User,obligation,dyadic,Elderly users should receive healthy meal recommendations,"∀x.∀y.O(recommend(System,y,x)|elderly(x)∧healthyMeal(y))",True,True,2,none,7,5,3
baseline,USER022,User,prohibition,implication,Elderly users should not receive high salt product recommendations,"∀x.∀y.elderly(x)∧highSaltProduct(y)->F(recommend(System,y,x))",True,True,2,none,8,5,3
baseline,USER022,User,prohibition,dyadic,Elderly users should not receive high salt product recommendations,"∀x.∀y.F(recommend(System,y,x)|elderly(x)∧highSaltProduct(y))",True,True,2,none,7,5,3
baseline,USER023,User,permission,implication,Elderly users may receive low sugar food recommendations,"∀x.∀y.elderly(x)∧lowSugarFood(y)->P(recommend(System,y,x))",True,True,2,none,8,5,3
baseline,USER023,User,permission,dyadic,Elderly users may receive low sugar food recommendations,"∀x.∀y.P(recommend(System,y,x)|elderly(x)∧lowSugarFood(y))",True,True,2,none,7,5,3
baseline,USER024,User,obligation,implication,Elderly users should receive affordable meal recommendations,"∀x.∀y.elderly(x)∧affordableMeal(y)->O(recommend(System,y,x))",True,True,2,none,8,5,3
baseline,USER024,User,obligation,dyadic,Elderly users should receive affordable meal recommendations,"∀x.∀y.O(recommend(System,y,x)|elderly(x)∧affordableMeal(y))",True,True,2,none,7,5,3
baseline,USER025,User,prohibition,implication,Elderly users should not receive ultra processed food recommendations,"∀x.∀y.elderly(x)∧ultraProcessedFood(y)->F(recommend(System,y,x))",True,True,2,none,8,5,3
baseline,USER025,User,prohibition,dyadic,Elderly users should not receive ultra processed food recommendations,"∀x.∀y.F(recommend(System,y,x)|elderly(x)∧ultraProcessedFood(y))",True,True,2,none,7,5,3
baseline,USER026,User,prohibition,implication,Users allergic to nuts should not receive products containing nuts,"∀x.∀y.allergicTo(x,Nuts)∧contains(y,Nuts)->F(recommend(System,y,x))",True,True,2,none,8,5,3
baseline,USER026,User,prohibition,dyadic,Users allergic to nuts should not receive products containing nuts,"∀x.∀y.F(recommend(System,y,x)|allergicTo(x,Nuts)∧contains(y,Nuts))",True,True,2,none,7,5,3
baseline,USER027,User,prohibition,implication,Users allergic to shellfish should not receive products containing shellfish,"∀x.∀y.allergicTo(x,Shellfish)∧contains(y,Shellfish)->F(recommend(System,y,x))",True,True,2,none,8,5,3
baseline,USER027,User,prohibition,dyadic,Users allergic to shellfish should not receive products containing shellfish,"∀x.∀y.F(recommend(System,y,x)|allergicTo(x,Shellfish)∧contains(y,Shellfish))",True,True,2,none,7,5,3
baseline,USER028,User,obligation,implication,Users allergic to nuts should receive nut free meal recommendations,"∀x.∀y.allergicTo(x,Nuts)∧nutFreeMeal(y)->O(recommend(System,y,x))",True,True,2,none,8,5,3
baseline,USER028,User,obligation,dyadic,Users allergic to nuts should receive nut free meal recommendations,"∀x.∀y.O(recommend(System,y,x)|allergicTo(x,Nuts)∧nutFreeMeal(y))",True,True,2,none,7,5,3
baseline,USER029,User,permission,implication,Users allergic to shellfish may receive shellfish free meal recommendations,"∀x.∀y.allergicTo(x,Shellfish)∧shellfishFreeMeal(y)->P(recommend(System,y,x))",True,True,2,none,8,5,3
baseline,USER029,User,permission,dyadic,Users allergic to shellfish may receive shellfish free meal recommendations,"∀x.∀y.P(recommend(System,y,x)|allergicTo(x,Shellfish)∧shellfishFreeMeal(y))",True,True,2,none,7,5,3
baseline,USER030,User,obligation,implication,Users allergic to nuts or shellfish should receive allergen safe meal recommendations,"∀x.∀y.allergicTo(x,Nuts)∨allergicTo(x,Shellfish)∧allergenSafeMeal(y)->O(recommend(System,y,x))",True,True,1,partial_concept_overlap,10,6,4
baseline,USER030,User,obligation,dyadic,Users allergic to nuts or shellfish should receive allergen safe meal recommendations,"∀x.∀y.O(recommend(System,y,x)|allergicTo(x,Nuts)∨allergicTo(x,Shellfish)∧allergenSafeMeal(y))",True,True,1,partial_concept_overlap,9,6,4
baseline,USER031,User,prohibition,implication,Vegan users should not receive non vegan meal recommendations,"∀x.∀y.vegan(x)∧nonVegan(y)->F(recommend(System,y,x))",True,True,2,none,8,5,3
baseline,USER031,User,prohibition,dyadic,Vegan users should not receive non vegan meal recommendations,"∀x.∀y.F(recommend(System,y,x)|vegan(x)∧nonVegan(y))",True,True,2,none,7,5,3
baseline,USER032,User,obligation,implication,Vegan users should receive vegan meal recommendations,"∀x.∀y.vegan(x)∧veganMeal(y)->O(recommend(System,y,x))",True,True,2,none,8,5,3
baseline,USER032,User,obligation,dyadic,Vegan users should receive vegan meal recommendations,"∀x.∀y.O(recommend(System,y,x)|vegan(x)∧veganMeal(y))",True,True,2,none,7,5,3
baseline,USER033,User,permission,implication,Vegan users may receive plant based meal recommendations,"∀x.∀y.vegan(x)∧plantBasedMeal(y)->P(recommend(System,y,x))",True,True,2,none,8,5,3
baseline,USER033,User,permission,dyadic,Vegan users may receive plant based meal recommendations,"∀x.∀y.P(recommend(System,y,x)|vegan(x)∧plantBasedMeal(y))",True,True,2,none,7,5,3
baseline,USER034,User,prohibition,implication,Vegan users should not receive dairy meal recommendations,"∀x.∀y.vegan(x)∧dairyMeal(y)->F(recommend(System,y,x))",True,True,2,none,8,5,3
baseline,USER034,User,prohibition,dyadic,Vegan users should not receive dairy meal recommendations,"∀x.∀y.F(recommend(System,y,x)|vegan(x)∧dairyMeal(y))",True,True,2,none,7,5,3
baseline,USER035,User,obligation,implication,Vegan users should receive sustainable vegan meal recommendations,"∀x.∀y.vegan(x)∧veganMeal(y)∧sustainable(y)->O(recommend(System,y,x))",True,True,2,none,10,6,4
baseline,USER035,User,obligation,dyadic,Vegan users should receive sustainable vegan meal recommendations,"∀x.∀y.O(recommend(System,y,x)|vegan(x)∧veganMeal(y)∧sustainable(y))",True,True,2,none,9,6,4
baseline,USER036,User,prohibition,implication,Vegetarian users should not receive meat meal recommendations,"∀x.∀y.vegetarian(x)∧meatMeal(y)->F(recommend(System,y,x))",True,True,2,none,8,5,3
baseline,USER036,User,prohibition,dyadic,Vegetarian users should not receive meat meal recommendations,"∀x.∀y.F(recommend(System,y,x)|vegetarian(x)∧meatMeal(y))",True,True,2,none,7,5,3
baseline,USER037,User,obligation,implication,Vegetarian users should receive vegetarian meal recommendations,"∀x.∀y.vegetarian(x)∧vegetarianMeal(y)->O(recommend(System,y,x))",True,True,2,none,8,5,3
baseline,USER037,User,obligation,dyadic,Vegetarian users should receive vegetarian meal recommendations,"∀x.∀y.O(recommend(System,y,x)|vegetarian(x)∧vegetarianMeal(y))",True,True,2,none,7,5,3
baseline,USER038,User,permission,implication,Vegetarian users may receive plant based meal recommendations,"∀x.∀y.vegetarian(x)∧plantBasedMeal(y)->P(recommend(System,y,x))",True,True,2,none,8,5,3
baseline,USER038,User,permission,dyadic,Vegetarian users may receive plant based meal recommendations,"∀x.∀y.P(recommend(System,y,x)|vegetarian(x)∧plantBasedMeal(y))",True,True,2,none,7,5,3
baseline,USER039,User,prohibition,implication,Vegetarian users should not receive non vegetarian products,"∀x.∀y.vegetarian(x)∧nonVegetarian(y)->F(recommend(System,y,x))",True,True,2,none,8,5,3
baseline,USER039,User,prohibition,dyadic,Vegetarian users should not receive non vegetarian products,"∀x.∀y.F(recommend(System,y,x)|vegetarian(x)∧nonVegetarian(y))",True,True,2,none,7,5,3
baseline,USER040,User,obligation,implication,Vegetarian users should receive affordable vegetarian meals,"∀x.∀y.vegetarian(x)∧vegetarianMeal(y)∧affordableMeal(y)->O(recommend(System,y,x))",True,True,2,none,10,6,4
baseline,USER040,User,obligation,dyadic,Vegetarian users should receive affordable vegetarian meals,"∀x.∀y.O(recommend(System,y,x)|vegetarian(x)∧vegetarianMeal(y)∧affordableMeal(y))",True,True,2,none,9,6,4
baseline,USER041,User,obligation,implication,Users requiring halal food should receive certified halal meal recommendations,"∀x.∀y.requiresHalal(x)∧halalMeal(y)∧certifiedHalal(y)->O(recommend(System,y,x))",True,True,2,none,10,6,4
baseline,USER041,User,obligation,dyadic,Users requiring halal food should receive certified halal meal recommendations,"∀x.∀y.O(recommend(System,y,x)|requiresHalal(x)∧halalMeal(y)∧certifiedHalal(y))",True,True,2,none,9,6,4
baseline,USER042,User,prohibition,implication,Users requiring halal food should not receive non halal meal recommendations,"∀x.∀y.requiresHalal(x)∧nonHalal(y)->F(recommend(System,y,x))",True,True,2,none,8,5,3
baseline,USER042,User,prohibition,dyadic,Users requiring halal food should not receive non halal meal recommendations,"∀x.∀y.F(recommend(System,y,x)|requiresHalal(x)∧nonHalal(y))",True,True,2,none,7,5,3
baseline,USER043,User,permission,implication,Users requiring halal food may receive verified halal products,"∀x.∀y.requiresHalal(x)∧verifiedHalal(y)->P(recommend(System,y,x))",True,True,2,none,8,5,3
baseline,USER043,User,permission,dyadic,Users requiring halal food may receive verified halal products,"∀x.∀y.P(recommend(System,y,x)|requiresHalal(x)∧verifiedHalal(y))",True,True,2,none,7,5,3
baseline,USER044,User,prohibition,implication,Users requiring halal food should not receive products with uncertain halal status,"∀x.∀y.requiresHalal(x)∧uncertainHalalStatus(y)->F(recommend(System,y,x))",True,True,2,none,8,5,3
baseline,USER044,User,prohibition,dyadic,Users requiring halal food should not receive products with uncertain halal status,"∀x.∀y.F(recommend(System,y,x)|requiresHalal(x)∧uncertainHalalStatus(y))",True,True,2,none,7,5,3
baseline,USER045,User,permission,implication,Users preferring halal food may receive halal meal recommendations,"∀x.∀y.prefers(x,y)∧halalMeal(y)->P(recommend(System,y,x))",True,True,2,none,8,5,3
baseline,USER045,User,permission,dyadic,Users preferring halal food may receive halal meal recommendations,"∀x.∀y.P(recommend(System,y,x)|prefers(x,y)∧halalMeal(y))",True,True,2,none,7,5,3
baseline,USER046,User,obligation,implication,Users requiring kosher food should receive certified kosher meal recommendations,"∀x.∀y.requiresKosher(x)∧kosherMeal(y)∧certifiedKosher(y)->O(recommend(System,y,x))",True,True,2,none,10,6,4
baseline,USER046,User,obligation,dyadic,Users requiring kosher food should receive certified kosher meal recommendations,"∀x.∀y.O(recommend(System,y,x)|requiresKosher(x)∧kosherMeal(y)∧certifiedKosher(y))",True,True,2,none,9,6,4
baseline,USER047,User,prohibition,implication,Users requiring kosher food should not receive non kosher meal recommendations,"∀x.∀y.requiresKosher(x)∧nonKosher(y)->F(recommend(System,y,x))",True,True,2,none,8,5,3
baseline,USER047,User,prohibition,dyadic,Users requiring kosher food should not receive non kosher meal recommendations,"∀x.∀y.F(recommend(System,y,x)|requiresKosher(x)∧nonKosher(y))",True,True,2,none,7,5,3
baseline,USER048,User,permission,implication,Users requiring kosher food may receive verified kosher products,"∀x.∀y.requiresKosher(x)∧verifiedKosher(y)->P(recommend(System,y,x))",True,True,2,none,8,5,3
baseline,USER048,User,permission,dyadic,Users requiring kosher food may receive verified kosher products,"∀x.∀y.P(recommend(System,y,x)|requiresKosher(x)∧verifiedKosher(y))",True,True,2,none,7,5,3
baseline,USER049,User,prohibition,implication,Users requiring kosher food should not receive products with uncertain kosher status,"∀x.∀y.requiresKosher(x)∧uncertainKosherStatus(y)->F(recommend(System,y,x))",True,True,2,none,8,5,3
baseline,USER049,User,prohibition,dyadic,Users requiring kosher food should not receive products with uncertain kosher status,"∀x.∀y.F(recommend(System,y,x)|requiresKosher(x)∧uncertainKosherStatus(y))",True,True,2,none,7,5,3
baseline,USER050,User,permission,implication,Users preferring kosher food may receive kosher meal recommendations,"∀x.∀y.prefers(x,y)∧kosherMeal(y)->P(recommend(System,y,x))",True,True,2,none,8,5,3
baseline,USER050,User,permission,dyadic,Users preferring kosher food may receive kosher meal recommendations,"∀x.∀y.P(recommend(System,y,x)|prefers(x,y)∧kosherMeal(y))",True,True,2,none,7,5,3
baseline,USER051,User,obligation,implication,Gluten sensitive users should receive certified gluten free meal recommendations,"∀x.∀y.glutenSensitive(x)∧glutenFreeMeal(y)∧certifiedGlutenFree(y)->O(recommend(System,y,x))",True,True,2,none,10,6,4
baseline,USER051,User,obligation,dyadic,Gluten sensitive users should receive certified gluten free meal recommendations,"∀x.∀y.O(recommend(System,y,x)|glutenSensitive(x)∧glutenFreeMeal(y)∧certifiedGlutenFree(y))",True,True,2,none,9,6,4
baseline,USER052,User,prohibition,implication,Users requiring gluten free food should not receive gluten containing products,"∀x.∀y.requiresGlutenFree(x)∧contains(y,Gluten)->F(recommend(System,y,x))",True,True,2,none,8,5,3
baseline,USER052,User,prohibition,dyadic,Users requiring gluten free food should not receive gluten containing products,"∀x.∀y.F(recommend(System,y,x)|requiresGlutenFree(x)∧contains(y,Gluten))",True,True,2,none,7,5,3
baseline,USER053,User,permission,implication,Users requiring gluten free food may receive certified gluten free products,"∀x.∀y.requiresGlutenFree(x)∧certifiedGlutenFree(y)->P(recommend(System,y,x))",True,True,2,none,8,5,3
baseline,USER053,User,permission,dyadic,Users requiring gluten free food may receive certified gluten free products,"∀x.∀y.P(recommend(System,y,x)|requiresGlutenFree(x)∧certifiedGlutenFree(y))",True,True,2,none,7,5,3
baseline,USER054,User,prohibition,implication,Gluten sensitive users should not receive wheat meal recommendations,"∀x.∀y.glutenSensitive(x)∧wheatMeal(y)->F(recommend(System,y,x))",True,True,1,partial_concept_overlap,8,5,3
baseline,USER054,User,prohibition,dyadic,Gluten sensitive users should not receive wheat meal recommendations,"∀x.∀y.F(recommend(System,y,x)|glutenSensitive(x)∧wheatMeal(y))",True,True,1,partial_concept_overlap,7,5,3
baseline,USER055,User,obligation,implication,Users requiring gluten free food should receive gluten free meal recommendations,"∀x.∀y.requiresGlutenFree(x)∧glutenFreeMeal(y)->O(recommend(System,y,x))",True,True,2,none,8,5,3
baseline,USER055,User,obligation,dyadic,Users requiring gluten free food should receive gluten free meal recommendations,"∀x.∀y.O(recommend(System,y,x)|requiresGlutenFree(x)∧glutenFreeMeal(y))",True,True,2,none,7,5,3
baseline,USER056,User,obligation,implication,Lactose intolerant users should receive certified lactose free meal recommendations,"∀x.∀y.lactoseIntolerant(x)∧lactoseFreeMeal(y)∧certifiedLactoseFree(y)->O(recommend(System,y,x))",True,True,1,partial_concept_overlap,10,6,4
baseline,USER056,User,obligation,dyadic,Lactose intolerant users should receive certified lactose free meal recommendations,"∀x.∀y.O(recommend(System,y,x)|lactoseIntolerant(x)∧lactoseFreeMeal(y)∧certifiedLactoseFree(y))",True,True,1,partial_concept_overlap,9,6,4
baseline,USER057,User,prohibition,implication,Users requiring lactose free food should not receive dairy meal recommendations,"∀x.∀y.requiresLactoseFree(x)∧dairyMeal(y)->F(recommend(System,y,x))",True,True,2,none,8,5,3
baseline,USER057,User,prohibition,dyadic,Users requiring lactose free food should not receive dairy meal recommendations,"∀x.∀y.F(recommend(System,y,x)|requiresLactoseFree(x)∧dairyMeal(y))",True,True,2,none,7,5,3
baseline,USER058,User,permission,implication,Users requiring lactose free food may receive lactose free products,"∀x.∀y.requiresLactoseFree(x)∧lactoseFreeMeal(y)->P(recommend(System,y,x))",True,True,0,semantic_mismatch_possible,8,5,3
baseline,USER058,User,permission,dyadic,Users requiring lactose free food may receive lactose free products,"∀x.∀y.P(recommend(System,y,x)|requiresLactoseFree(x)∧lactoseFreeMeal(y))",True,True,0,semantic_mismatch_possible,7,5,3
baseline,USER059,User,prohibition,implication,Lactose intolerant users should not receive products containing lactose,"∀x.∀y.lactoseIntolerant(x)∧contains(y,Lactose)->F(recommend(System,y,x))",True,True,2,none,8,5,3
baseline,USER059,User,prohibition,dyadic,Lactose intolerant users should not receive products containing lactose,"∀x.∀y.F(recommend(System,y,x)|lactoseIntolerant(x)∧contains(y,Lactose))",True,True,2,none,7,5,3
baseline,USER060,User,obligation,implication,Users requiring lactose free food should receive certified lactose free products,"∀x.∀y.requiresLactoseFree(x)∧certifiedLactoseFree(y)->O(recommend(System,y,x))",True,True,1,partial_concept_overlap,8,5,3
baseline,USER060,User,obligation,dyadic,Users requiring lactose free food should receive certified lactose free products,"∀x.∀y.O(recommend(System,y,x)|requiresLactoseFree(x)∧certifiedLactoseFree(y))",True,True,1,partial_concept_overlap,7,5,3
baseline,USER061,User,obligation,implication,Users preferring organic food should receive organic food recommendations,"∀x.∀y.prefers(x,y)∧organicFood(y)->O(recommend(System,y,x))",True,True,2,none,8,5,3
baseline,USER061,User,obligation,dyadic,Users preferring organic food should receive organic food recommendations,"∀x.∀y.O(recommend(System,y,x)|prefers(x,y)∧organicFood(y))",True,True,2,none,7,5,3
baseline,USER062,User,obligation,implication,Users preferring sustainable food should receive sustainable meal recommendations,"∀x.∀y.prefers(x,y)∧sustainable(y)->O(recommend(System,y,x))",True,True,2,none,8,5,3
baseline,USER062,User,obligation,dyadic,Users preferring sustainable food should receive sustainable meal recommendations,"∀x.∀y.O(recommend(System,y,x)|prefers(x,y)∧sustainable(y))",True,True,2,none,7,5,3
baseline,USER063,User,obligation,implication,Users preferring affordable food should receive affordable meal recommendations,"∀x.∀y.prefers(x,y)∧affordableMeal(y)->O(recommend(System,y,x))",True,True,2,none,8,5,3
baseline,USER063,User,obligation,dyadic,Users preferring affordable food should receive affordable meal recommendations,"∀x.∀y.O(recommend(System,y,x)|prefers(x,y)∧affordableMeal(y))",True,True,2,none,7,5,3
baseline,USER064,User,prohibition,implication,Users avoiding ultra processed food should not receive ultra processed food recommendations,"∀x.∀y.avoids(x,y)∧ultraProcessedFood(y)->F(recommend(System,y,x))",True,True,0,semantic_mismatch_possible,8,5,3
baseline,USER064,User,prohibition,dyadic,Users avoiding ultra processed food should not receive ultra processed food recommendations,"∀x.∀y.F(recommend(System,y,x)|avoids(x,y)∧ultraProcessedFood(y))",True,True,0,semantic_mismatch_possible,7,5,3
baseline,USER065,User,permission,implication,Users preferring local products may receive local food recommendations,"∀x.∀y.prefers(x,y)∧localProduct(y)->P(recommend(System,y,x))",True,True,2,none,8,5,3
baseline,USER065,User,permission,dyadic,Users preferring local products may receive local food recommendations,"∀x.∀y.P(recommend(System,y,x)|prefers(x,y)∧localProduct(y))",True,True,2,none,7,5,3
baseline,USER066,User,permission,implication,Users preferring spicy food may receive spicy meal recommendations,"∀x.∀y.prefers(x,y)∧spicyMeal(y)->P(recommend(System,y,x))",True,True,2,none,8,5,3
baseline,USER066,User,permission,dyadic,Users preferring spicy food may receive spicy meal recommendations,"∀x.∀y.P(recommend(System,y,x)|prefers(x,y)∧spicyMeal(y))",True,True,2,none,7,5,3
baseline,USER067,User,obligation,implication,Users avoiding spicy food should receive mild meal recommendations,"∀x.∀y.avoids(x,y)∧spicyMeal(y)∧mildMeal(y)->O(recommend(System,y,x))",True,True,2,none,10,6,4
baseline,USER067,User,obligation,dyadic,Users avoiding spicy food should receive mild meal recommendations,"∀x.∀y.O(recommend(System,y,x)|avoids(x,y)∧spicyMeal(y)∧mildMeal(y))",True,True,2,none,9,6,4
baseline,USER068,User,permission,implication,Users preferring mild food may receive mild meal recommendations,"∀x.∀y.prefers(x,y)∧mildMeal(y)->P(recommend(System,y,x))",True,True,2,none,8,5,3
baseline,USER068,User,permission,dyadic,Users preferring mild food may receive mild meal recommendations,"∀x.∀y.P(recommend(System,y,x)|prefers(x,y)∧mildMeal(y))",True,True,2,none,7,5,3
baseline,USER069,User,prohibition,implication,Users avoiding sugary snacks should not receive sugary snack recommendations,"∀x.∀y.avoids(x,y)∧sugarySnack(y)->F(recommend(System,y,x))",True,True,2,none,8,5,3
baseline,USER069,User,prohibition,dyadic,Users avoiding sugary snacks should not receive sugary snack recommendations,"∀x.∀y.F(recommend(System,y,x)|avoids(x,y)∧sugarySnack(y))",True,True,2,none,7,5,3
baseline,USER070,User,prohibition,implication,Users avoiding salty snacks should not receive salty snack recommendations,"∀x.∀y.avoids(x,y)∧saltySnack(y)->F(recommend(System,y,x))",True,True,2,none,8,5,3
