id,stakeholder,nl_norm,implication_formula,dyadic_formula,norm_type
INDUSTRY017,Food Industry,Food Industry policy permits the recommender to use this market placement rule: Loyal customers may receive discounted seasonal products.,"∀x.∀y.loyalCustomer(x)∧discounted(y)∧seasonal(y)->P(recommend(System,y,x))","∀x.∀y.P(recommend(System,y,x)|loyalCustomer(x)∧discounted(y)∧seasonal(y))",permission
INDUSTRY018,Food Industry,Food Industry compliance prohibits the recommender from violating this product-suitability rule: Users avoiding discounted products should not receive discounted product recommendations.,"∀x.∀y.avoids(x,y)∧discounted(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|avoids(x,y)∧discounted(y))",prohibition
INDUSTRY019,Food Industry,Food Industry policy requires the recommender to support this commercial objective: Discounted products should be recommended when they are available.,"∀x.∀y.discounted(y)∧available(y)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|discounted(y)∧available(y))",obligation
INDUSTRY020,Food Industry,Food Industry policy permits the recommender to use this market placement rule: Discounted products may be recommended to eligible adults.,"∀x.∀y.eligible(x)∧adult(x)∧discounted(y)->P(recommend(System,y,x))","∀x.∀y.P(recommend(System,y,x)|eligible(x)∧adult(x)∧discounted(y))",permission
INDUSTRY021,Food Industry,Food Industry policy requires the recommender to support this commercial objective: Seasonal products should be recommended during seasonal campaigns.,"∀x.∀y.seasonal(y)∧available(y)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|seasonal(y)∧available(y))",obligation
INDUSTRY022,Food Industry,Food Industry policy permits the recommender to use this market placement rule: Users interested in seasonal food may receive seasonal product recommendations.,"∀x.∀y.interestedIn(x,SeasonalFood)∧seasonal(y)->P(recommend(System,y,x))","∀x.∀y.P(recommend(System,y,x)|interestedIn(x,SeasonalFood)∧seasonal(y))",permission
INDUSTRY023,Food Industry,Food Industry compliance prohibits the recommender from violating this product-suitability rule: Seasonal products should not be recommended when unavailable.,"∀x.∀y.seasonal(y)∧¬available(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|seasonal(y)∧¬available(y))",prohibition
INDUSTRY024,Food Industry,Food Industry policy requires the recommender to support this commercial objective: Loyal customers should receive available seasonal product recommendations.,"∀x.∀y.loyalCustomer(x)∧seasonal(y)∧available(y)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|loyalCustomer(x)∧seasonal(y)∧available(y))",obligation
INDUSTRY025,Food Industry,Food Industry policy permits the recommender to use this market placement rule: Seasonal products may be recommended to adults when approved.,"∀x.∀y.adult(x)∧seasonal(y)∧approved(y)->P(recommend(System,y,x))","∀x.∀y.P(recommend(System,y,x)|adult(x)∧seasonal(y)∧approved(y))",permission
INDUSTRY026,Food Industry,Food Industry policy requires the recommender to support this commercial objective: Users interested in new products should receive new product recommendations.,"∀x.∀y.interestedIn(x,NewProduct)∧newProduct(y)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|interestedIn(x,NewProduct)∧newProduct(y))",obligation
INDUSTRY027,Food Industry,Food Industry policy permits the recommender to use this market placement rule: New products may be recommended to eligible users.,"∀x.∀y.eligible(x)∧newProduct(y)->P(recommend(System,y,x))","∀x.∀y.P(recommend(System,y,x)|eligible(x)∧newProduct(y))",permission
INDUSTRY028,Food Industry,Food Industry compliance prohibits the recommender from violating this product-suitability rule: New products should not be recommended when restricted.,"∀x.∀y.newProduct(y)∧restricted(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|newProduct(y)∧restricted(y))",prohibition
INDUSTRY029,Food Industry,Food Industry policy requires the recommender to support this commercial objective: New approved products should be promoted to adults.,"∀x.∀y.adult(x)∧newProduct(y)∧approved(y)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|adult(x)∧newProduct(y)∧approved(y))",obligation
INDUSTRY030,Food Industry,Food Industry policy permits the recommender to use this market placement rule: New products may be recommended when they are available.,"∀x.∀y.newProduct(y)∧available(y)->P(recommend(System,y,x))","∀x.∀y.P(recommend(System,y,x)|newProduct(y)∧available(y))",permission
INDUSTRY031,Food Industry,Food Industry policy requires the recommender to support this commercial objective: Users interested in local food should receive local product recommendations.,"∀x.∀y.interestedIn(x,LocalFood)∧localProduct(y)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|interestedIn(x,LocalFood)∧localProduct(y))",obligation
INDUSTRY032,Food Industry,Food Industry policy permits the recommender to use this market placement rule: Local products may be recommended when available.,"∀x.∀y.localProduct(y)∧available(y)->P(recommend(System,y,x))","∀x.∀y.P(recommend(System,y,x)|localProduct(y)∧available(y))",permission
INDUSTRY033,Food Industry,Food Industry compliance prohibits the recommender from violating this product-suitability rule: Unavailable local products should not be recommended.,"∀x.∀y.localProduct(y)∧¬available(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|localProduct(y)∧¬available(y))",prohibition
INDUSTRY034,Food Industry,Food Industry policy requires the recommender to support this commercial objective: Local sustainable products should be recommended to users interested in local food.,"∀x.∀y.interestedIn(x,LocalFood)∧localProduct(y)∧sustainable(y)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|interestedIn(x,LocalFood)∧localProduct(y)∧sustainable(y))",obligation
INDUSTRY035,Food Industry,Food Industry policy permits the recommender to use this market placement rule: Local products may be recommended to loyal customers.,"∀x.∀y.loyalCustomer(x)∧localProduct(y)->P(recommend(System,y,x))","∀x.∀y.P(recommend(System,y,x)|loyalCustomer(x)∧localProduct(y))",permission
INDUSTRY036,Food Industry,Food Industry policy requires the recommender to support this commercial objective: Users interested in sustainable food should receive sustainable product recommendations.,"∀x.∀y.interestedIn(x,SustainableFood)∧sustainable(y)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|interestedIn(x,SustainableFood)∧sustainable(y))",obligation
INDUSTRY037,Food Industry,Food Industry policy permits the recommender to use this market placement rule: Sustainable products may be recommended when available.,"∀x.∀y.sustainable(y)∧available(y)->P(recommend(System,y,x))","∀x.∀y.P(recommend(System,y,x)|sustainable(y)∧available(y))",permission
INDUSTRY038,Food Industry,Food Industry compliance prohibits the recommender from violating this product-suitability rule: Sustainable products should not be recommended when sustainability claims are misleading.,"∀x.∀y.sustainable(y)∧misleadingClaim(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|sustainable(y)∧misleadingClaim(y))",prohibition
INDUSTRY039,Food Industry,Food Industry policy requires the recommender to support this commercial objective: Certified sustainable products should be recommended to eligible users.,"∀x.∀y.eligible(x)∧sustainable(y)∧certified(y)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|eligible(x)∧sustainable(y)∧certified(y))",obligation
INDUSTRY040,Food Industry,Food Industry policy permits the recommender to use this market placement rule: Sustainable products may be recommended to premium customers.,"∀x.∀y.premiumCustomer(x)∧sustainable(y)->P(recommend(System,y,x))","∀x.∀y.P(recommend(System,y,x)|premiumCustomer(x)∧sustainable(y))",permission
INDUSTRY041,Food Industry,Food Industry policy requires the recommender to support this commercial objective: Organic products should be recommended to users preferring organic products.,"∀x.∀y.prefers(x,y)∧organic(y)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|prefers(x,y)∧organic(y))",obligation
INDUSTRY042,Food Industry,Food Industry policy permits the recommender to use this market placement rule: Organic products may be recommended when verified.,"∀x.∀y.organic(y)∧verifiedClaim(y)->P(recommend(System,y,x))","∀x.∀y.P(recommend(System,y,x)|organic(y)∧verifiedClaim(y))",permission
INDUSTRY043,Food Industry,Food Industry compliance prohibits the recommender from violating this product-suitability rule: Organic products should not be recommended when organic claims are misleading.,"∀x.∀y.organic(y)∧misleadingClaim(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|organic(y)∧misleadingClaim(y))",prohibition
INDUSTRY044,Food Industry,Food Industry policy requires the recommender to support this commercial objective: Certified organic products should be promoted to eligible users.,"∀x.∀y.eligible(x)∧organic(y)∧certified(y)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|eligible(x)∧organic(y)∧certified(y))",obligation
INDUSTRY045,Food Industry,Food Industry policy permits the recommender to use this market placement rule: Organic products may be recommended to loyal customers.,"∀x.∀y.loyalCustomer(x)∧organic(y)->P(recommend(System,y,x))","∀x.∀y.P(recommend(System,y,x)|loyalCustomer(x)∧organic(y))",permission
INDUSTRY046,Food Industry,Food Industry policy requires the recommender to support this commercial objective: Affordable products should be recommended to users preferring affordable meals.,"∀x.∀y.prefers(x,y)∧affordable(y)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|prefers(x,y)∧affordable(y))",obligation
INDUSTRY047,Food Industry,Food Industry policy permits the recommender to use this market placement rule: Affordable products may be recommended when available.,"∀x.∀y.affordable(y)∧available(y)->P(recommend(System,y,x))","∀x.∀y.P(recommend(System,y,x)|affordable(y)∧available(y))",permission
INDUSTRY048,Food Industry,Food Industry compliance prohibits the recommender from violating this product-suitability rule: Unaffordable products should not be recommended to users preferring affordable meals.,"∀x.∀y.prefers(x,y)∧unaffordable(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|prefers(x,y)∧unaffordable(y))",prohibition
INDUSTRY049,Food Industry,Food Industry policy requires the recommender to support this commercial objective: Affordable sponsored products should be recommended to eligible users.,"∀x.∀y.eligible(x)∧affordable(y)∧sponsored(y)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|eligible(x)∧affordable(y)∧sponsored(y))",obligation
INDUSTRY050,Food Industry,Food Industry policy permits the recommender to use this market placement rule: Affordable products may be recommended to adults.,"∀x.∀y.adult(x)∧affordable(y)->P(recommend(System,y,x))","∀x.∀y.P(recommend(System,y,x)|adult(x)∧affordable(y))",permission
INDUSTRY051,Food Industry,Food Industry policy requires the recommender to support this commercial objective: Users requiring halal food should receive certified halal product recommendations.,"∀x.∀y.requiresHalal(x)∧certifiedHalal(y)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|requiresHalal(x)∧certifiedHalal(y))",obligation
INDUSTRY052,Food Industry,Food Industry policy permits the recommender to use this market placement rule: Halal certified products may be recommended to users requiring halal food.,"∀x.∀y.requiresHalal(x)∧certifiedHalal(y)∧available(y)->P(recommend(System,y,x))","∀x.∀y.P(recommend(System,y,x)|requiresHalal(x)∧certifiedHalal(y)∧available(y))",permission
INDUSTRY053,Food Industry,Food Industry compliance prohibits the recommender from violating this product-suitability rule: Products without halal certification should not be recommended to users requiring halal food.,"∀x.∀y.requiresHalal(x)∧¬certifiedHalal(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|requiresHalal(x)∧¬certifiedHalal(y))",prohibition
INDUSTRY054,Food Industry,Food Industry policy requires the recommender to support this commercial objective: Halal certified sponsored products should be promoted to eligible halal users.,"∀x.∀y.eligible(x)∧requiresHalal(x)∧certifiedHalal(y)∧sponsored(y)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|eligible(x)∧requiresHalal(x)∧certifiedHalal(y)∧sponsored(y))",obligation
INDUSTRY055,Food Industry,Food Industry policy permits the recommender to use this market placement rule: Halal certified products may be recommended when approved.,"∀x.∀y.certifiedHalal(y)∧approved(y)->P(recommend(System,y,x))","∀x.∀y.P(recommend(System,y,x)|certifiedHalal(y)∧approved(y))",permission
INDUSTRY056,Food Industry,Food Industry policy requires the recommender to support this commercial objective: Users requiring kosher food should receive certified kosher product recommendations.,"∀x.∀y.requiresKosher(x)∧certifiedKosher(y)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|requiresKosher(x)∧certifiedKosher(y))",obligation
INDUSTRY057,Food Industry,Food Industry policy permits the recommender to use this market placement rule: Kosher certified products may be recommended to users requiring kosher food.,"∀x.∀y.requiresKosher(x)∧certifiedKosher(y)∧available(y)->P(recommend(System,y,x))","∀x.∀y.P(recommend(System,y,x)|requiresKosher(x)∧certifiedKosher(y)∧available(y))",permission
INDUSTRY058,Food Industry,Food Industry compliance prohibits the recommender from violating this product-suitability rule: Products without kosher certification should not be recommended to users requiring kosher food.,"∀x.∀y.requiresKosher(x)∧¬certifiedKosher(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|requiresKosher(x)∧¬certifiedKosher(y))",prohibition
INDUSTRY059,Food Industry,Food Industry policy requires the recommender to support this commercial objective: Kosher certified sponsored products should be promoted to eligible kosher users.,"∀x.∀y.eligible(x)∧requiresKosher(x)∧certifiedKosher(y)∧sponsored(y)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|eligible(x)∧requiresKosher(x)∧certifiedKosher(y)∧sponsored(y))",obligation
INDUSTRY060,Food Industry,Food Industry policy permits the recommender to use this market placement rule: Kosher certified products may be recommended when approved.,"∀x.∀y.certifiedKosher(y)∧approved(y)->P(recommend(System,y,x))","∀x.∀y.P(recommend(System,y,x)|certifiedKosher(y)∧approved(y))",permission
INDUSTRY061,Food Industry,Food Industry policy requires the recommender to support this commercial objective: Users requiring gluten free food should receive certified gluten free product recommendations.,"∀x.∀y.requiresGlutenFree(x)∧certifiedGlutenFree(y)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|requiresGlutenFree(x)∧certifiedGlutenFree(y))",obligation
INDUSTRY062,Food Industry,Food Industry policy permits the recommender to use this market placement rule: Certified gluten free products may be recommended to gluten sensitive users.,"∀x.∀y.glutenSensitive(x)∧certifiedGlutenFree(y)->P(recommend(System,y,x))","∀x.∀y.P(recommend(System,y,x)|glutenSensitive(x)∧certifiedGlutenFree(y))",permission
INDUSTRY063,Food Industry,Food Industry compliance prohibits the recommender from violating this product-suitability rule: Products without gluten free certification should not be recommended to gluten sensitive users.,"∀x.∀y.glutenSensitive(x)∧¬certifiedGlutenFree(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|glutenSensitive(x)∧¬certifiedGlutenFree(y))",prohibition
INDUSTRY064,Food Industry,Food Industry policy requires the recommender to support this commercial objective: Certified gluten free sponsored products should be promoted to eligible gluten free users.,"∀x.∀y.eligible(x)∧requiresGlutenFree(x)∧certifiedGlutenFree(y)∧sponsored(y)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|eligible(x)∧requiresGlutenFree(x)∧certifiedGlutenFree(y)∧sponsored(y))",obligation
INDUSTRY065,Food Industry,Food Industry policy permits the recommender to use this market placement rule: Certified gluten free products may be recommended when available.,"∀x.∀y.certifiedGlutenFree(y)∧available(y)->P(recommend(System,y,x))","∀x.∀y.P(recommend(System,y,x)|certifiedGlutenFree(y)∧available(y))",permission
INDUSTRY066,Food Industry,Food Industry policy requires the recommender to support this commercial objective: Users requiring lactose free food should receive certified lactose free product recommendations.,"∀x.∀y.requiresLactoseFree(x)∧certifiedLactoseFree(y)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|requiresLactoseFree(x)∧certifiedLactoseFree(y))",obligation
INDUSTRY067,Food Industry,Food Industry policy permits the recommender to use this market placement rule: Certified lactose free products may be recommended to lactose intolerant users.,"∀x.∀y.lactoseIntolerant(x)∧certifiedLactoseFree(y)->P(recommend(System,y,x))","∀x.∀y.P(recommend(System,y,x)|lactoseIntolerant(x)∧certifiedLactoseFree(y))",permission
INDUSTRY068,Food Industry,Food Industry compliance prohibits the recommender from violating this product-suitability rule: Products without lactose free certification should not be recommended to lactose intolerant users.,"∀x.∀y.lactoseIntolerant(x)∧¬certifiedLactoseFree(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|lactoseIntolerant(x)∧¬certifiedLactoseFree(y))",prohibition
INDUSTRY069,Food Industry,Food Industry policy requires the recommender to support this commercial objective: Certified lactose free sponsored products should be promoted to eligible lactose free users.,"∀x.∀y.eligible(x)∧requiresLactoseFree(x)∧certifiedLactoseFree(y)∧sponsored(y)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|eligible(x)∧requiresLactoseFree(x)∧certifiedLactoseFree(y)∧sponsored(y))",obligation
INDUSTRY070,Food Industry,Food Industry policy permits the recommender to use this market placement rule: Certified lactose free products may be recommended when available.,"∀x.∀y.certifiedLactoseFree(y)∧available(y)->P(recommend(System,y,x))","∀x.∀y.P(recommend(System,y,x)|certifiedLactoseFree(y)∧available(y))",permission
INDUSTRY071,Food Industry,Food Industry policy requires the recommender to support this commercial objective: Users interested in Mediterranean products should receive Mediterranean meal recommendations.,"∀x.∀y.interestedIn(x,Mediterranean)∧mediterraneanMeal(y)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|interestedIn(x,Mediterranean)∧mediterraneanMeal(y))",obligation
INDUSTRY072,Food Industry,Food Industry policy permits the recommender to use this market placement rule: Mediterranean meals may be recommended when available.,"∀x.∀y.mediterraneanMeal(y)∧available(y)->P(recommend(System,y,x))","∀x.∀y.P(recommend(System,y,x)|mediterraneanMeal(y)∧available(y))",permission
INDUSTRY073,Food Industry,Food Industry compliance prohibits the recommender from violating this product-suitability rule: Mediterranean sponsored meals should not be recommended when restricted.,"∀x.∀y.mediterraneanMeal(y)∧sponsored(y)∧restricted(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|mediterraneanMeal(y)∧sponsored(y)∧restricted(y))",prohibition
INDUSTRY074,Food Industry,Food Industry policy requires the recommender to support this commercial objective: Certified Mediterranean meals should be promoted to eligible users.,"∀x.∀y.eligible(x)∧mediterraneanMeal(y)∧certified(y)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|eligible(x)∧mediterraneanMeal(y)∧certified(y))",obligation
INDUSTRY075,Food Industry,Food Industry policy permits the recommender to use this market placement rule: Mediterranean meals may be recommended to loyal customers.,"∀x.∀y.loyalCustomer(x)∧mediterraneanMeal(y)->P(recommend(System,y,x))","∀x.∀y.P(recommend(System,y,x)|loyalCustomer(x)∧mediterraneanMeal(y))",permission
INDUSTRY076,Food Industry,Food Industry policy requires the recommender to support this commercial objective: Users interested in Asian products should receive Asian meal recommendations.,"∀x.∀y.interestedIn(x,Asian)∧asianMeal(y)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|interestedIn(x,Asian)∧asianMeal(y))",obligation
INDUSTRY077,Food Industry,Food Industry policy permits the recommender to use this market placement rule: Asian meals may be recommended when available.,"∀x.∀y.asianMeal(y)∧available(y)->P(recommend(System,y,x))","∀x.∀y.P(recommend(System,y,x)|asianMeal(y)∧available(y))",permission
INDUSTRY078,Food Industry,Food Industry compliance prohibits the recommender from violating this product-suitability rule: Asian sponsored meals should not be recommended when restricted.,"∀x.∀y.asianMeal(y)∧sponsored(y)∧restricted(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|asianMeal(y)∧sponsored(y)∧restricted(y))",prohibition
INDUSTRY079,Food Industry,Food Industry policy requires the recommender to support this commercial objective: Certified Asian meals should be promoted to eligible users.,"∀x.∀y.eligible(x)∧asianMeal(y)∧certified(y)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|eligible(x)∧asianMeal(y)∧certified(y))",obligation
INDUSTRY080,Food Industry,Food Industry policy permits the recommender to use this market placement rule: Asian meals may be recommended to loyal customers.,"∀x.∀y.loyalCustomer(x)∧asianMeal(y)->P(recommend(System,y,x))","∀x.∀y.P(recommend(System,y,x)|loyalCustomer(x)∧asianMeal(y))",permission
INDUSTRY081,Food Industry,Food Industry policy permits the recommender to use this market placement rule: Users preferring spicy products may receive spicy meal recommendations.,"∀x.∀y.prefers(x,y)∧spicy(y)->P(recommend(System,y,x))","∀x.∀y.P(recommend(System,y,x)|prefers(x,y)∧spicy(y))",permission
INDUSTRY082,Food Industry,Food Industry policy requires the recommender to support this commercial objective: Spicy products should be promoted to users interested in spicy products.,"∀x.∀y.interestedIn(x,SpicyFood)∧spicy(y)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|interestedIn(x,SpicyFood)∧spicy(y))",obligation
INDUSTRY083,Food Industry,Food Industry compliance prohibits the recommender from violating this product-suitability rule: Spicy products should not be recommended to users avoiding spicy products.,"∀x.∀y.avoids(x,y)∧spicy(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|avoids(x,y)∧spicy(y))",prohibition
INDUSTRY084,Food Industry,Food Industry policy permits the recommender to use this market placement rule: Mild products may be recommended to users avoiding spicy products.,"∀x.∀y.avoids(x,y)∧mild(y)->P(recommend(System,y,x))","∀x.∀y.P(recommend(System,y,x)|avoids(x,y)∧mild(y))",permission
INDUSTRY085,Food Industry,Food Industry policy requires the recommender to support this commercial objective: Mild products should be recommended to users preferring mild meals.,"∀x.∀y.prefers(x,y)∧mild(y)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|prefers(x,y)∧mild(y))",obligation
INDUSTRY086,Food Industry,Food Industry compliance prohibits the recommender from violating this product-suitability rule: Products unsafe for a user should not be recommended.,"∀x.∀y.¬safeFor(x,y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|¬safeFor(x,y))",prohibition
INDUSTRY087,Food Industry,Food Industry compliance prohibits the recommender from violating this product-suitability rule: Products containing nuts should not be recommended to nut allergic users.,"∀x.∀y.allergicTo(x,Nuts)∧contains(y,Nuts)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|allergicTo(x,Nuts)∧contains(y,Nuts))",prohibition
INDUSTRY088,Food Industry,Food Industry compliance prohibits the recommender from violating this product-suitability rule: Products containing shellfish should not be recommended to shellfish allergic users.,"∀x.∀y.allergicTo(x,Shellfish)∧contains(y,Shellfish)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|allergicTo(x,Shellfish)∧contains(y,Shellfish))",prohibition
INDUSTRY089,Food Industry,Food Industry policy permits the recommender to use this market placement rule: Approved products may be recommended to eligible users.,"∀x.∀y.eligible(x)∧approved(y)->P(recommend(System,y,x))","∀x.∀y.P(recommend(System,y,x)|eligible(x)∧approved(y))",permission
INDUSTRY090,Food Industry,Food Industry policy requires the recommender to support this commercial objective: Approved sponsored products should be promoted to eligible users.,"∀x.∀y.eligible(x)∧approved(y)∧sponsored(y)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|eligible(x)∧approved(y)∧sponsored(y))",obligation
INDUSTRY091,Food Industry,Food Industry compliance prohibits the recommender from violating this product-suitability rule: Unavailable products should not be recommended.,"∀x.∀y.¬available(y)->F(recommend(System,y,x))","∀x.∀y.F(recommend(System,y,x)|¬available(y))",prohibition
INDUSTRY092,Food Industry,Food Industry policy permits the recommender to use this market placement rule: Available approved products may be recommended to adults.,"∀x.∀y.adult(x)∧available(y)∧approved(y)->P(recommend(System,y,x))","∀x.∀y.P(recommend(System,y,x)|adult(x)∧available(y)∧approved(y))",permission
INDUSTRY093,Food Industry,Food Industry policy requires the recommender to support this commercial objective: Available certified products should be recommended to loyal customers.,"∀x.∀y.loyalCustomer(x)∧available(y)∧certified(y)->O(recommend(System,y,x))","∀x.∀y.O(recommend(System,y,x)|loyalCustomer(x)∧available(y)∧certified(y))",obligation
